league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions
ENG-Premier League,1718,2017-09-30 Stoke-Southampton,1,2017,7181,2017-09-30 15:00:00,85,74,Stoke,Southampton,SOU,STO,0,0.5409999999999999,1,1.42781,1.42781,-0.49238000000000004,5.894736842105263,14,3,2.2855,2,2.68136,1.92019,0.49238000000000004,15.583333333333334,9
ENG-Premier League,1718,2017-09-30 West Bromwich Albion-Watford,1,2017,7182,2017-09-30 15:00:00,76,90,West Bromwich Albion,Watford,WAT,WBA,1,1.0928,2,1.62462,1.62462,-0.31434000000000006,8.25,11,1,1.6151,2,1.93896,1.93896,0.31434000000000006,16.1,5
ENG-Premier League,1718,2017-09-30 West Ham-Swansea,1,2017,7183,2017-09-30 15:00:00,81,84,West Ham,Swansea,SWA,WHU,0,0.7012,0,0.178568,0.178568,-0.513617,8.333333333333334,0,3,1.8496,1,0.692185,0.692185,0.513617,11.444444444444445,0
ENG-Premier League,1718,2017-10-01 Arsenal-Brighton,1,2017,7186,2017-10-01 12:00:00,83,220,Arsenal,Brighton,BRI,ARS,0,0.1799,0,0.386343,0.386343,-2.091837,28.166666666666668,5,3,2.7221,2,2.47818,2.47818,2.091837,8.409090909090908,15
ENG-Premier League,1718,2017-10-01 Everton-Burnley,1,2017,7187,2017-10-01 14:15:00,72,92,Everton,Burnley,BUR,EVE,3,0.8124,1,0.383977,0.383977,-0.549783,16.133333333333333,6,0,1.8204,0,0.93376,0.93376,0.549783,8.714285714285714,18
ENG-Premier League,1718,2017-10-01 Newcastle United-Liverpool,1,2017,7188,2017-10-01 16:30:00,86,87,Newcastle United,Liverpool,LIV,NEW,1,2.5325,1,1.64475,1.64475,1.3643129999999999,7.0476190476190474,8,1,0.29090000000000005,1,0.280437,0.280437,-1.3643129999999999,21.375,2
ENG-Premier League,1718,2017-10-14 Burnley-West Ham,1,2017,7190,2017-10-14 15:00:00,92,81,Burnley,West Ham,WHU,BUR,1,1.489,1,0.835192,0.835192,0.13300200000000006,13.176470588235293,4,1,1.1421999999999999,1,0.70219,0.70219,-0.13300200000000006,6.666666666666667,11
ENG-Premier League,1718,2017-10-14 Crystal Palace-Chelsea,1,2017,7191,2017-10-14 15:00:00,78,80,Crystal Palace,Chelsea,CHE,CRY,0,0.6647000000000001,1,0.651919,0.651919,-0.8668109999999999,8.2,6,3,2.0890999999999997,2,1.51873,1.51873,0.8668109999999999,9.352941176470589,10
ENG-Premier League,1718,2017-10-14 Liverpool-Manchester United,1,2017,7193,2017-10-14 12:30:00,87,89,Liverpool,Manchester United,MUN,LIV,1,0.2231,0,0.230358,0.230358,-1.696662,13.44,3,1,2.6422999999999996,0,1.92702,1.92702,1.696662,8.727272727272727,9
ENG-Premier League,1718,2017-10-14 Manchester City-Stoke,1,2017,7194,2017-10-14 15:00:00,88,85,Manchester City,Stoke,STO,MCI,0,0.022899999999999997,2,0.681236,0.681236,-3.7726439999999997,73.25,2,3,2.9608000000000003,7,4.45388,4.45388,3.7726439999999997,5.208333333333333,19
