join_key,league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url,home_team_shortened
2014-08-16_Arsenal,ENG-Premier League,1415,2014-08-16 Arsenal-Crystal Palace,1,2014,4755,2014-08-16,83,78,Arsenal,Crystal Palace,CRY,ARS,2,1,1.55411,0.158151,True,True,https://understat.com/match/4755,Arsenal
2014-08-16_Leicester,ENG-Premier League,1415,2014-08-16 Leicester-Everton,1,2014,4750,2014-08-16,75,72,Leicester,Everton,EVE,LEI,2,2,1.2783,0.613273,True,True,https://understat.com/match/4750,Leicester
2014-08-16_Manchester,ENG-Premier League,1415,2014-08-16 Manchester United-Swansea,1,2014,4749,2014-08-16,89,84,Manchester United,Swansea,SWA,MUN,1,2,1.16635,0.278076,True,True,https://understat.com/match/4749,Manchester
2014-08-16_Queens,ENG-Premier League,1415,2014-08-16 Queens Park Rangers-Hull,1,2014,4751,2014-08-16,202,91,Queens Park Rangers,Hull,HUL,QPR,0,1,1.90067,1.11757,True,True,https://understat.com/match/4751,Queens
2014-08-16_Stoke,ENG-Premier League,1415,2014-08-16 Stoke-Aston Villa,1,2014,4752,2014-08-16,85,71,Stoke,Aston Villa,AVL,STO,0,1,0.423368,0.909774,True,True,https://understat.com/match/4752,Stoke
2014-08-16_West,ENG-Premier League,1415,2014-08-16 West Bromwich Albion-Sunderland,1,2014,4753,2014-08-16,76,77,West Bromwich Albion,Sunderland,SUN,WBA,2,2,1.68343,0.991901,True,True,https://understat.com/match/4753,West
2014-08-16_West,ENG-Premier League,1415,2014-08-16 West Ham-Tottenham,1,2014,4754,2014-08-16,81,82,West Ham,Tottenham,TOT,WHU,0,1,1.8531,1.01706,True,True,https://understat.com/match/4754,West
2014-08-17_Liverpool,ENG-Premier League,1415,2014-08-17 Liverpool-Southampton,1,2014,4756,2014-08-17,87,74,Liverpool,Southampton,SOU,LIV,2,1,1.33192,1.55248,True,True,https://understat.com/match/4756,Liverpool
2014-08-17_Newcastle,ENG-Premier League,1415,2014-08-17 Newcastle United-Manchester City,1,2014,4757,2014-08-17,86,88,Newcastle United,Manchester City,MCI,NEW,0,2,0.965583,1.48053,True,True,https://understat.com/match/4757,Newcastle
2014-08-18_Burnley,ENG-Premier League,1415,2014-08-18 Burnley-Chelsea,1,2014,4758,2014-08-18,92,80,Burnley,Chelsea,CHE,BUR,1,3,0.371141,2.12996,True,True,https://understat.com/match/4758,Burnley
