join_key,League,season_id,Game,Season,Date,Home Team,Away Team,Away Team Code,Home Team Code,Away Points,Away Goals,Away xG,Away Non-Penalty xG,away_np_xg_difference,Away PPDA,Away Deep Completions,Home Points,Home Goals,Home xG,Home Non-Penalty xG,home_np_xg_difference,Home PPDA,Home Deep Completions,Home xG Diff,Away xG Diff
2023-08-11_Burnley,Premier League,2324,Burnley v Manchester City,2023,2023-08-11,Burnley,Manchester City,MCI,BUR,3,3,2.40074,2.40074,2.089708,15.8,9,0,0,0.311032,0.311032,-2.089708,33.07142857142857,4,-2.089708,2.089708
2023-08-12_Arsenal,Premier League,2324,Arsenal v Nottingham Forest,2023,2023-08-12,Arsenal,Nottingham Forest,NOT,ARS,0,1,0.966305,0.966305,0.12368499999999993,44.1,4,3,2,0.84262,0.84262,-0.12368499999999993,4.0,9,-0.12368499999999993,0.12368499999999993
2023-08-12_Bournemouth,Premier League,2324,Bournemouth v West Ham,2023,2023-08-12,Bournemouth,West Ham,WHU,BOU,1,1,1.4834,1.4834,-0.02685000000000004,9.733333333333333,8,1,1,1.51025,1.51025,0.02685000000000004,5.111111111111111,9,0.02685000000000004,-0.02685000000000004
2023-08-12_Brighton,Premier League,2324,Brighton v Luton,2023,2023-08-12,Brighton,Luton,LUT,BRI,0,1,1.88594,1.12477,-2.48154,23.0625,5,3,4,4.36748,3.60631,2.48154,6.875,17,2.48154,-2.48154
2023-08-12_Everton,Premier League,2324,Everton v Fulham,2023,2023-08-12,Everton,Fulham,FLH,EVE,3,1,1.58144,1.58144,-1.00857,17.4,6,0,0,2.59001,2.59001,1.00857,14.826086956521738,7,1.00857,-1.00857
2023-08-12_Newcastle,Premier League,2324,Newcastle United v Aston Villa,2023,2023-08-12,Newcastle United,Aston Villa,AVL,NEW,0,1,1.486,1.486,-2.83608,11.571428571428571,6,3,5,4.32208,4.32208,2.83608,15.0,9,2.83608,-2.83608
2023-08-12_Sheffield,Premier League,2324,Sheffield United v Crystal Palace,2023,2023-08-12,Sheffield United,Crystal Palace,CRY,SHE,3,1,2.27616,2.27616,1.853456,4.391304347826087,9,0,0,0.422704,0.422704,-1.853456,14.181818181818182,2,-1.853456,1.853456
2023-08-13_Brentford,Premier League,2324,Brentford v Tottenham,2023,2023-08-13,Brentford,Tottenham,TOT,BRE,1,2,1.45316,1.45316,0.3067599999999999,5.870967741935484,7,1,2,1.90756,1.1464,-0.3067599999999999,14.1,11,0.4543999999999999,-0.4543999999999999
2023-08-13_Chelsea,Premier League,2324,Chelsea v Liverpool,2023,2023-08-13,Chelsea,Liverpool,LIV,CHE,1,1,1.29994,1.29994,-0.6326399999999999,20.047619047619047,9,1,1,1.93258,1.93258,0.6326399999999999,8.947368421052632,11,0.6326399999999999,-0.6326399999999999
2023-08-14_Manchester,Premier League,2324,Manchester United v Wolverhampton Wanderers,2023,2023-08-14,Manchester United,Wolverhampton Wanderers,WOL,MUN,0,0,1.72228,1.72228,-0.24858999999999987,13.5,12,3,1,1.97087,1.97087,0.24858999999999987,7.28125,16,0.24858999999999987,-0.24858999999999987
2023-08-18_Nottingham,Premier League,2324,Nottingham Forest v Sheffield United,2023,2023-08-18,Nottingham Forest,Sheffield United,SHE,NOT,0,1,0.551038,0.551038,-0.820772,12.526315789473685,4,3,2,1.37181,1.37181,0.820772,15.866666666666667,6,0.820772,-0.820772
2023-08-19_Fulham,Premier League,2324,Fulham v Brentford,2023,2023-08-19,Fulham,Brentford,BRE,FLH,3,3,3.46888,2.70772,2.307821,12.789473684210526,13,0,0,0.399899,0.399899,-2.307821,10.478260869565217,8,-3.068981,3.068981
2023-08-19_Liverpool,Premier League,2324,Liverpool v Bournemouth,2023,2023-08-19,Liverpool,Bournemouth,BOU,LIV,0,1,1.3867,1.3867,-0.94736,11.125,8,3,3,3.25448,2.33406,0.94736,7.260869565217392,11,1.86778,-1.86778
2023-08-19_Manchester,Premier League,2324,Manchester City v Newcastle United,2023,2023-08-19,Manchester City,Newcastle United,NEW,MCI,0,0,0.257154,0.257154,-0.9681259999999999,15.518518518518519,5,3,1,1.22528,1.22528,0.9681259999999999,13.619047619047619,9,0.9681259999999999,-0.9681259999999999
2023-08-19_Tottenham,Premier League,2324,Tottenham v Manchester United,2023,2023-08-19,Tottenham,Manchester United,MUN,TOT,0,0,2.44604,2.44604,-0.09299999999999997,12.52,12,3,2,2.53904,2.53904,0.09299999999999997,9.85,12,0.09299999999999997,-0.09299999999999997
2023-08-19_Wolverhampton,Premier League,2324,Wolverhampton Wanderers v Brighton,2023,2023-08-19,Wolverhampton Wanderers,Brighton,BRI,WOL,3,4,3.15562,3.15562,0.46740999999999966,7.514285714285714,14,0,1,2.68821,2.68821,-0.46740999999999966,13.625,6,-0.46740999999999966,0.46740999999999966
2023-08-20_Aston,Premier League,2324,Aston Villa v Everton,2023,2023-08-20,Aston Villa,Everton,EVE,AVL,0,0,0.721465,0.721465,-1.760725,16.73913043478261,2,3,4,3.24336,2.48219,1.760725,17.0,13,2.5218949999999998,-2.5218949999999998
