shot_id,match_id,player,player_id,team,home_away,minute,result,xG,X,Y,shot_type,situation,last_action,player_assisted,date,home_team,away_team,Match,season
531932,22275,Luca Koleosho,10620,Burnley,home,14,MissedShots,0.05805481970310211,0.86,0.635,RightFoot,OpenPlay,Pass,Vitinho,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531933,22275,Zeki Amdouni,11701,Burnley,home,17,SavedShot,0.06125757470726967,0.8859999847412109,0.6719999694824219,LeftFoot,OpenPlay,Pass,Luca Koleosho,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531934,22275,Lyle Foster,7498,Burnley,home,28,MissedShots,0.01711176335811615,0.87,0.750999984741211,LeftFoot,OpenPlay,TakeOn,,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531936,22275,Lyle Foster,7498,Burnley,home,36,BlockedShot,0.09761640429496765,0.86,0.455,RightFoot,OpenPlay,Pass,Luca Koleosho,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531947,22275,Anass Zaroury,11703,Burnley,home,79,BlockedShot,0.0639837458729744,0.8169999694824219,0.5359999847412109,LeftFoot,OpenPlay,Pass,Lyle Foster,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531948,22275,Jacob Bruun Larsen,5355,Burnley,home,81,MissedShots,0.013008161447942257,0.9580000305175781,0.37599998474121094,Head,FromCorner,Aerial,Anass Zaroury,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531929,22275,Erling Haaland,8260,Manchester City,away,3,Goal,0.5058456659317017,0.9369999694824219,0.5059999847412109,LeftFoot,FromCorner,HeadPass,Rodri,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531930,22275,Kevin De Bruyne,447,Manchester City,away,5,MissedShots,0.01889444887638092,0.7190000152587891,0.3890000152587891,RightFoot,OpenPlay,Pass,Phil Foden,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531931,22275,Erling Haaland,8260,Manchester City,away,10,MissedShots,0.13024680316448212,0.9519999694824218,0.4209999847412109,RightFoot,OpenPlay,Cross,Kevin De Bruyne,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531935,22275,Erling Haaland,8260,Manchester City,away,35,Goal,0.11321365833282471,0.8909999847412109,0.385,LeftFoot,OpenPlay,Pass,Julián Álvarez,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531937,22275,Phil Foden,6055,Manchester City,away,45,SavedShot,0.16869960725307465,0.8980000305175782,0.48200000762939454,LeftFoot,OpenPlay,TakeOn,Mateo Kovacic,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531938,22275,Erling Haaland,8260,Manchester City,away,51,BlockedShot,0.13275626301765442,0.9440000152587891,0.6819999694824219,LeftFoot,OpenPlay,Throughball,Julián Álvarez,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531939,22275,Phil Foden,6055,Manchester City,away,52,BlockedShot,0.07316727191209793,0.950999984741211,0.625999984741211,LeftFoot,FromCorner,None,,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531940,22275,Rodri,2496,Manchester City,away,54,SavedShot,0.014352702535688877,0.705999984741211,0.43900001525878907,RightFoot,OpenPlay,BallRecovery,Kyle Walker,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
