league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions
ENG-Premier League,1920,2019-08-09 Liverpool-Norwich,1,2019,11643,2019-08-09 20:00:00,87,79,Liverpool,Norwich,NOR,LIV,0,0.4405,1,0.842407,0.842407,-1.392153,21.454545454545453,5,3,2.3863,4,2.23456,2.23456,1.392153,5.942857142857143,11
ENG-Premier League,1920,2019-08-10 Bournemouth-Sheffield United,1,2019,11645,2019-08-10 15:00:00,73,238,Bournemouth,Sheffield United,SHE,BOU,1,1.5905,1,1.59864,1.59864,0.25765000000000016,9.133333333333333,6,1,1.0171999999999999,1,1.34099,1.34099,-0.25765000000000016,13.6,4
ENG-Premier League,1920,2019-08-10 Burnley-Southampton,1,2019,11646,2019-08-10 15:00:00,92,74,Burnley,Southampton,SOU,BUR,0,1.5136,0,1.08752,1.08752,0.17827900000000008,5.5,9,3,1.1422,3,0.909241,0.909241,-0.17827900000000008,9.277777777777779,0
ENG-Premier League,1920,2019-08-10 Crystal Palace-Everton,1,2019,11647,2019-08-10 15:00:00,78,72,Crystal Palace,Everton,EVE,CRY,1,1.6257,0,1.2246,1.2246,0.35300999999999993,4.074074074074074,5,1,1.0512,0,0.87159,0.87159,-0.35300999999999993,11.307692307692308,5
ENG-Premier League,1920,2019-08-10 Tottenham-Aston Villa,1,2019,11649,2019-08-10 17:30:00,82,71,Tottenham,Aston Villa,AVL,TOT,0,0.2794,1,0.639599,0.639599,-1.933021,13.421052631578947,2,3,2.5932999999999997,3,2.57262,2.57262,1.933021,5.25,15
ENG-Premier League,1920,2019-08-10 Watford-Brighton,1,2019,11648,2019-08-10 15:00:00,90,220,Watford,Brighton,BRI,WAT,3,1.5457999999999998,3,0.855516,0.855516,0.18549400000000005,11.5,5,0,1.0922,0,0.670022,0.670022,-0.18549400000000005,9.785714285714286,7
ENG-Premier League,1920,2019-08-10 West Ham-Manchester City,1,2019,11644,2019-08-10 12:30:00,81,88,West Ham,Manchester City,MCI,WHU,3,2.6311999999999998,5,3.18377,2.42264,1.22234,6.935483870967742,9,0,0.2522,0,1.2003,1.2003,-1.22234,16.4,1
ENG-Premier League,1920,2019-08-11 Leicester-Wolverhampton Wanderers,1,2019,11651,2019-08-11 14:00:00,75,229,Leicester,Wolverhampton Wanderers,WOL,LEI,1,1.584,0,0.812949,0.812949,0.26919000000000004,18.666666666666668,3,1,1.0341,0,0.543759,0.543759,-0.26919000000000004,6.434782608695652,7
ENG-Premier League,1920,2019-08-11 Manchester United-Chelsea,1,2019,11652,2019-08-11 16:30:00,89,80,Manchester United,Chelsea,CHE,MUN,0,0.4992,0,1.09534,1.09534,-0.5179199999999999,6.4523809523809526,4,3,2.3226,4,2.37442,1.61326,0.5179199999999999,9.064516129032258,8
ENG-Premier League,1920,2019-08-11 Newcastle United-Arsenal,1,2019,11650,2019-08-11 14:00:00,86,83,Newcastle United,Arsenal,ARS,NEW,3,2.073,1,1.13309,1.13309,0.752539,11.052631578947368,10,0,0.6213,0,0.380551,0.380551,-0.752539,13.206896551724139,1
ENG-Premier League,1920,2019-08-17 Arsenal-Burnley,1,2019,11653,2019-08-17 12:30:00,83,92,Arsenal,Burnley,BUR,ARS,0,1.5631000000000002,1,1.39172,1.39172,0.22731999999999997,11.384615384615385,4,3,1.1533,2,1.1644,1.1644,-0.22731999999999997,5.3125,8
