league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ENG-Premier League,2122,Aston Villa,Anwar El Ghazi,1,2021,71,5612,F M S,11,380,1,0.9790227208286524,0,0.21785360015928745,1,0.2625085022300482,8,5,2,0,0.6096942089498043,0.30974540673196316
ENG-Premier League,2122,Aston Villa,Ashley Young,1,2021,71,631,D F M S,24,1232,0,0.40374260675162077,0,0.40374260675162077,2,0.7783125322312117,10,13,2,0,3.3930896408855915,2.4790434166789055
ENG-Premier League,2122,Aston Villa,Axel Tuanzebe,1,2021,71,934,D S,9,507,0,0.15486809983849525,0,0.15486809983849525,0,0.0,2,0,1,0,0.8887580037117004,0.8887580037117004
ENG-Premier League,2122,Aston Villa,Bertrand Traoré,1,2021,71,695,F S,9,199,0,0.26367049664258957,0,0.26367049664258957,0,0.0,8,0,0,0,0.6458876002579927,0.44426370318979025
ENG-Premier League,2122,Aston Villa,Cameron Archer,1,2021,71,9912,S,3,20,0,0.02824229933321476,0,0.02824229933321476,0,0.0,1,0,0,0,0.059728801250457764,0.031486500054597855
ENG-Premier League,2122,Aston Villa,Carney Chukwuemeka,1,2021,71,9356,M S,12,266,0,0.6268898099660873,0,0.6268898099660873,1,0.9877786859869957,4,2,0,0,2.198258690536022,0.676293196156621
ENG-Premier League,2122,Aston Villa,Danny Ings,1,2021,71,986,F S,30,1920,7,6.846661906689405,6,6.085492890328169,6,1.4444685094058514,49,15,4,0,7.999432535842061,2.1089931335300207
ENG-Premier League,2122,Aston Villa,Douglas Luiz,1,2021,71,6122,M S,34,2733,2,2.220371574163437,2,2.220371574163437,3,2.44307017326355,23,36,7,0,10.234683318063617,8.437496514990926
ENG-Premier League,2122,Aston Villa,Emiliano Buendía,1,2021,71,2203,F M S,35,1907,4,3.0539291193708777,4,3.0539291193708777,6,4.653005113825202,44,47,1,0,10.573566023260355,5.318296255543828
ENG-Premier League,2122,Aston Villa,Emiliano Martinez,1,2021,71,4401,GK,36,3240,0,0.0,0,0.0,0,0.0,0,0,4,0,2.479881220497191,2.479881220497191
ENG-Premier League,2122,Aston Villa,Ezri Konsa Ngoyo,1,2021,71,7726,D,29,2494,2,1.206902057863772,2,1.206902057863772,0,0.27069990523159504,14,4,4,2,4.54279619269073,4.291604299098253
