league,season,game,team,player,league_id,season_id,game_id,team_id,player_id,position,position_id,minutes,goals,own_goals,shots,xg,xg_chain,xg_buildup,assists,xa,key_passes,yellow_cards,red_cards
ENG-Premier League,2223,2022-08-05 Crystal Palace-Arsenal,Arsenal,Aaron Ramsdale,1,2022,18202,83,5603,GK,1,90,0,0,0,0.0,0.057627301663160324,0.057627301663160324,0,0.0,0,0,0
ENG-Premier League,2223,2022-08-05 Crystal Palace-Arsenal,Arsenal,Albert Sambi Lokonga,1,2022,18202,83,9689,Sub,17,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,2223,2022-08-05 Crystal Palace-Arsenal,Arsenal,Ben White,1,2022,18202,83,7298,DR,2,90,0,0,0,0.0,0.07888689637184143,0.0,0,0.07888689637184143,1,1,0
ENG-Premier League,2223,2022-08-05 Crystal Palace-Arsenal,Arsenal,Bukayo Saka,1,2022,18202,83,7322,AMR,11,90,0,0,3,0.23257899284362793,0.3414109945297241,0.10883300006389618,0,0.0,0,0,0
ENG-Premier League,2223,2022-08-05 Crystal Palace-Arsenal,Arsenal,Eddie Nketiah,1,2022,18202,83,6482,Sub,17,6,0,0,0,0.0,0.15369200706481934,0.057627301663160324,0,0.09606440365314484,1,0,0
ENG-Premier League,2223,2022-08-05 Crystal Palace-Arsenal,Arsenal,Gabriel,1,2022,18202,83,5613,DC,3,90,0,0,0,0.0,0.057627301663160324,0.057627301663160324,0,0.0,0,0,0
ENG-Premier League,2223,2022-08-05 Crystal Palace-Arsenal,Arsenal,Gabriel Jesus,1,2022,18202,83,5543,FW,15,84,0,0,1,0.18183399736881256,0.22663499414920807,0.04480059817433357,0,0.0,0,0,0
ENG-Premier League,2223,2022-08-05 Crystal Palace-Arsenal,Arsenal,Gabriel Martinelli,1,2022,18202,83,7752,AML,13,90,1,0,2,0.878940999507904,0.46210500597953796,0.057627301663160324,0,0.06403200328350067,1,0,0
ENG-Premier League,2223,2022-08-05 Crystal Palace-Arsenal,Arsenal,Granit Xhaka,1,2022,18202,83,204,DMC,7,90,0,0,0,0.0,0.15145400166511536,0.10665299743413925,0,0.04480059817433357,1,1,0
ENG-Premier League,2223,2022-08-05 Crystal Palace-Arsenal,Arsenal,Kieran Tierney,1,2022,18202,83,8089,Sub,17,6,0,0,0,0.0,0.057627301663160324,0.057627301663160324,0,0.0,0,0,0
