player_name,team,position,games,time,goals,assists,shots,key_passes,xG,xA,xG90,xA90,xGChain,xGBuildup,npg,npxG,season
Mohamed Salah,Liverpool,F M,38,3392,29,18,130,89,27.70626749098301,15.858334187418222,0.0,0.0,48.53588879853487,16.20675839856267,20,20.855747912079096,2024
Alexander Isak,Newcastle United,F,34,2822,23,6,99,42,22.356988068670034,5.44870379474014,0.0,0.0,26.209551103413105,3.579237926751375,19,19.312312599271536,2024
Erling Haaland,Manchester City,F,31,2749,22,3,109,29,23.95459282770753,3.5812273556366563,0.0,0.0,22.845245644450188,3.5353690683841705,19,20.909917432814837,2024
Chris Wood,Nottingham Forest,F S,36,3024,20,3,68,22,15.638655036687851,3.044111367315054,0.0,0.0,14.72016467526555,1.6692094188183546,17,13.355148404836655,2024
Bryan Mbeumo,Brentford,D F M,38,3419,20,7,86,70,13.63216146454215,10.376488702371716,0.0,0.0,24.377113293856382,9.351834732107818,15,9.06514835730195,2024
Yoane Wissa,Brentford,F M S,35,2943,18,4,90,28,20.731059528887272,3.4494741149246693,0.0,0.0,27.726778712123632,5.426989254541695,18,20.731059528887272,2024
Ollie Watkins,Aston Villa,F S,38,2666,16,8,84,25,18.632458329200745,3.87640418484807,0.0,0.0,18.900541841983795,3.2909299470484257,14,17.11012053489685,2024
Matheus Cunha,Wolverhampton Wanderers,F M S,33,2617,15,6,110,56,8.446298986673355,7.411126339808106,0.0,0.0,18.023087229579687,7.101435688324273,15,8.446298986673355,2024
Cole Palmer,Chelsea,M S,37,3228,15,8,126,87,15.77423645183444,12.954366408288479,0.0,0.0,29.99983731843531,9.8022615686059,11,11.968392122536898,2024
Jean-Philippe Mateta,Crystal Palace,F S,37,2690,14,2,69,29,15.83262430690229,3.85278513841331,0.0,0.0,18.602611111477017,3.6145096691325307,12,14.31028657220304,2024
Jørgen Strand Larsen,Wolverhampton Wanderers,F S,35,2624,14,4,54,19,11.689683858305216,3.358626527711749,0.0,0.0,16.568026771768928,3.4464203380048275,14,11.689683858305216,2024
Jarrod Bowen,West Ham,F M,34,2993,13,8,87,50,9.816103929653764,7.633318647742271,0.0,0.0,15.45670910179615,3.2645750464871526,12,9.054935092106462,2024
Luis Díaz,Liverpool,F M S,36,2433,13,5,71,56,12.3563298471272,6.245185255073011,0.0,0.0,27.060918375849724,10.240967989899218,13,12.3563298471272,2024
Raúl Jiménez,Fulham,F S,38,2531,12,3,96,25,14.405358291231096,4.079181319102645,0.0,0.0,17.43132229242474,5.398588978685439,9,12.121851704083383,2024
Justin Kluivert,Bournemouth,M S,34,2390,12,6,63,44,10.441609976813197,5.512896118685603,0.0,0.0,15.81588026881218,6.402966948226094,6,5.87459684535861,2024
Liam Delap,Ipswich,F S,37,2671,12,2,68,20,11.930982023477554,2.784454360604286,0.0,0.0,14.707014501094818,3.1533351335674524,10,10.40864434838295,2024
Kevin Schade,Brentford,F M S,38,2332,11,2,55,23,9.467997699975967,3.714522727765143,0.0,0.0,15.767545722424984,4.10542070120573,11,9.467997699975967,2024
Brennan Johnson,Tottenham,F M S,33,2178,11,3,54,19,11.162618312984705,2.948688331991434,0.0,0.0,16.477571818977594,3.7468922175467014,11,11.162618312984705,2024
Antoine Semenyo,Bournemouth,F M S,37,3219,11,5,126,46,14.549346312880516,6.608794005587697,0.0,0.0,26.17976476252079,7.88416787609458,11,14.549346312880516,2024
Danny Welbeck,Brighton,F S,30,2152,10,4,59,23,10.456029083579779,2.076795544475317,0.0,0.0,15.517961982637644,5.872543508186936,9,9.694860246032476,2024
João Pedro,Brighton,F M S,27,1975,10,6,47,30,8.863604867830873,5.618519173935056,0.0,0.0,15.910436924546957,7.6452163346111774,5,5.0577606651932,2024
Nicolas Jackson,Chelsea,F S,30,2294,10,5,76,28,13.834070887416601,3.47239719517529,0.0,0.0,16.895098600536585,3.0802767761051655,10,13.834070887416601,2024
