player_name,team,position,games,time,goals,assists,shots,key_passes,xG,xA,xG90,xA90,xGChain,xGBuildup,npg,npxG,season
Erling Haaland,Manchester City,F S,35,2803,36,8,123,29,32.761399537324905,5.8491098545491695,0.0,0.0,31.963398084044456,3.285816218703985,29,27.433209866285324,2022
Harry Kane,Tottenham,F,38,3414,30,3,133,57,23.06444012373686,7.547407771460712,0.0,0.0,25.079117983579636,5.095352162607014,25,18.497427217662334,2022
Ivan Toney,Brentford,F,33,2960,20,4,94,26,21.69119757413864,4.909892840310931,0.0,0.0,18.1100468672812,4.024585669860244,14,16.363018790259957,2022
Mohamed Salah,Liverpool,F M S,38,3307,19,12,125,65,23.340063713490963,8.720245610922575,0.0,0.0,32.54413793236017,8.866782674565911,17,20.295387655496597,2022
Callum Wilson,Newcastle United,F S,31,1911,18,5,73,24,18.856768030673265,3.567963434383273,0.0,0.0,15.517562381923199,1.810890594497323,15,16.57326026633382,2022
Marcus Rashford,Manchester United,F M S,35,2907,17,5,108,31,18.761760517954826,3.7354129292070866,0.0,0.0,30.331113813444972,9.589746218174696,17,18.761760517954826,2022
Martin Odegaard,Arsenal,M,37,3203,15,7,93,77,9.137760860845447,9.209956639446318,0.0,0.0,27.893760193139315,15.047104069963098,15,9.137760860845447,2022
Gabriel Martinelli,Arsenal,F M S,36,2851,15,5,79,59,10.538134384900331,9.349485490471125,0.0,0.0,25.15087455138564,9.320917252451181,15,10.538134384900331,2022
Ollie Watkins,Aston Villa,F M S,37,3150,15,6,85,30,17.486295863986015,3.6740340031683445,0.0,0.0,22.162564158439636,5.435315723530948,14,15.963956996798515,2022
Aleksandar Mitrovic,Fulham,F S,24,2022,14,1,93,15,16.17901684064418,2.3344982340931892,0.0,0.0,11.802805667743087,2.5752602564170957,10,10.089664130471647,2022
Bukayo Saka,Arsenal,F M S,38,3216,14,11,89,75,11.300049655139446,7.0429807445034385,0.0,0.0,23.58317681774497,11.6032799705863,12,9.016541637480259,2022
Rodrigo,Leeds,F M S,31,1955,13,1,67,16,8.572983920574188,2.298705962486565,0.0,0.0,10.812733860686421,3.450525519438088,12,7.811814919114113,2022
Harvey Barnes,Leicester,F M S,34,2738,13,1,72,19,9.120478011667728,3.107304636389017,0.0,0.0,14.723602913320065,3.649019580334425,13,9.120478011667728,2022
Roberto Firmino,Liverpool,F M S,25,1203,11,4,39,21,8.122956335544586,3.0548400916159153,0.0,0.0,13.91264321282506,6.6901707127690315,11,8.122956335544586,2022
Gabriel Jesus,Arsenal,F S,26,2107,11,6,77,31,16.171134389936924,4.243733491748571,0.0,0.0,22.476388424634933,6.94562154635787,10,15.409974373877048,2022
Phil Foden,Manchester City,F M S,32,1837,11,6,46,44,6.185852009803057,5.697479462251067,0.0,0.0,17.42637488618493,8.101508693769574,11,6.185852009803057,2022
Miguel Almirón,Newcastle United,F S,34,2550,11,2,69,26,8.727059464901686,2.9551383573561907,0.0,0.0,14.478478658944368,5.557318415492773,11,8.727059464901686,2022
Son Heung-Min,Tottenham,F M S,36,2920,10,6,81,62,9.597895424813032,6.334341483190656,0.0,0.0,17.62133340537548,5.954911859706044,10,9.597895424813032,2022
Alexander Isak,Newcastle United,F S,22,1530,10,1,51,15,8.784851711243391,1.7707323329523206,0.0,0.0,11.15905637666583,2.8647358743473887,8,7.262516763061285,2022
James Maddison,Leicester,F M S,30,2485,10,9,85,69,8.489387180656195,7.773198906332254,0.0,0.0,15.354668013751507,6.399377454072237,9,6.967049431055784,2022
Taiwo Awoniyi,Nottingham Forest,F S,27,1426,10,1,35,10,8.0510318800807,1.02802275121212,0.0,0.0,7.681166335940361,0.7168999258428812,10,8.0510318800807,2022
Alexis Mac Allister,Brighton,M S,35,2882,10,2,86,47,11.532242968678474,3.9281202014535666,0.0,0.0,19.910672947764397,12.656914940103889,4,6.965230006724596,2022
Eberechi Eze,Crystal Palace,F M S,38,2657,10,4,70,57,6.831764040514827,4.619440779089928,0.0,0.0,11.0957055054605,4.369746007025242,9,6.070595199242234,2022
Pascal Groß,Brighton,D F M,37,3261,9,8,40,80,5.954401790164411,11.246030485257506,0.0,0.0,25.252408916130662,15.00836755335331,9,5.954401790164411,2022
James Ward-Prowse,Southampton,M,38,3378,9,4,44,72,5.408911099657416,6.058508426882327,0.0,0.0,10.5485019069165,8.641763718798757,7,2.3642341531813145,2022
Bryan Mbeumo,Brentford,F S,38,2991,9,8,71,52,10.100785619579256,7.65799580514431,0.0,0.0,17.531262825243175,5.165040111169219,8,9.339616828598082,2022
Darwin Núñez,Liverpool,F S,29,1702,9,3,84,28,14.374805428087711,5.6468874625861645,0.0,0.0,20.277393620461226,3.4813443943858147,9,14.374805428087711,2022
Julián Álvarez,Manchester City,F M S,31,1416,9,0,47,18,7.753276175819337,2.0468210969120264,0.0,0.0,13.768698140978813,5.820535558275878,8,6.992107159458101,2022
Ilkay Gündogan,Manchester City,M S,31,2369,8,4,54,37,7.842695340514183,3.444544769823551,0.0,0.0,23.573771215975285,15.498776016756892,8,7.081526502966881,2022
Danny Ings,"Aston Villa,West Ham",F S,35,1562,8,2,42,15,8.25754163786769,1.4635955430567265,0.0,0.0,8.444588728249073,0.8141068425029516,6,6.735200669616461,2022
Bruno Fernandes,Manchester United,M,37,3326,8,8,92,118,9.385456696152687,17.266709440387785,0.0,0.0,35.418096881359816,17.724953144788742,6,7.863118812441826,2022
Leandro Trossard,"Arsenal,Brighton",D F M S,36,2263,8,12,55,47,7.068454213440418,6.358577378094196,0.0,0.0,16.329788200557232,6.749516544863582,8,7.068454213440418,2022
Brennan Johnson,Nottingham Forest,F M S,38,2952,8,3,55,28,8.266518421471119,3.7432961594313383,0.0,0.0,12.170722473412752,2.8007613457739353,7,5.983012191951275,2022
Granit Xhaka,Arsenal,M S,37,3039,7,7,40,46,5.785433189943433,4.802904064767063,0.0,0.0,21.03214856982231,14.246417433023453,7,5.785433189943433,2022
Kevin De Bruyne,Manchester City,M S,32,2448,7,16,65,97,4.7582743894308805,16.31964398175478,0.0,0.0,29.12851269170642,16.633560817688704,7,4.7582743894308805,2022
Wilfried Zaha,Crystal Palace,F M,27,2308,7,2,66,26,7.797594489529729,2.760253319516778,0.0,0.0,11.746893677860498,4.086586587131023,7,6.275257470086217,2022
Kai Havertz,Chelsea,F M S,35,2613,7,1,71,38,12.77656376361847,3.5748752877116203,0.0,0.0,17.850972719490528,5.238859623670578,6,12.015389770269394,2022
Yoane Wissa,Brentford,F S,38,1583,7,3,32,13,5.207585535943508,2.6399280801415443,0.0,0.0,11.27296715322882,4.301408238708973,7,5.207585535943508,2022
Philip Billing,Bournemouth,F M S,36,2822,7,1,38,27,4.894198485650122,3.457261343486607,0.0,0.0,9.995119906961918,3.561682090163231,7,4.894198485650122,2022
Dwight McNeil,Everton,D F M S,36,2512,7,3,46,51,3.8712205197662115,7.44360885117203,0.0,0.0,9.874688405543566,2.480967789888382,7,3.8712205197662115,2022
Diogo Jota,Liverpool,F M S,22,1132,7,4,35,17,6.437793597579002,1.7756053674966097,0.0,0.0,8.173869889229536,3.9002224784344435,7,6.437793597579002,2022
Kaoru Mitoma,Brighton,D M S,33,2306,7,5,52,40,9.245785741135478,7.035773795098066,0.0,0.0,21.043237909674644,9.100571872666478,7,9.245785741135478,2022
Cody Gakpo,Liverpool,F M S,21,1483,7,2,39,23,6.5545395612716675,2.981710772961378,0.0,0.0,12.117870450019836,4.4253273122012615,7,6.5545395612716675,2022
Joelinton,Newcastle United,F M S,32,2677,6,1,51,26,6.252544686198235,3.116438364610076,0.0,0.0,12.307858122512698,7.0922601986676455,6,6.252544686198235,2022
Danny Welbeck,Brighton,F S,31,1868,6,3,62,30,9.550176788121462,5.098056230694056,0.0,0.0,16.103102758526802,5.3988224398344755,6,9.550176788121462,2022
Anthony Martial,Manchester United,F S,21,987,6,2,27,12,7.3281096909195185,1.7567607499659061,0.0,0.0,9.77430764771998,2.7753882352262735,5,6.566943714395165,2022
Raheem Sterling,Chelsea,D F M S,28,1919,6,3,41,34,7.405153378844261,4.861129405908287,0.0,0.0,13.539876326918602,3.041725432500243,6,7.405153378844261,2022
Dominic Solanke,Bournemouth,F M S,33,2874,6,7,76,21,9.317674346268177,3.9576231529936194,0.0,0.0,14.145027499645948,3.0667414711788297,6,9.317674346268177,2022
Jarrod Bowen,West Ham,F M S,38,3245,6,5,75,48,10.004229810088873,6.90739019960165,0.0,0.0,15.171011984348297,3.6215272583067417,5,8.48189047165215,2022
Said Benrahma,West Ham,F M S,35,2070,6,3,73,48,6.350573148578405,4.756499437615275,0.0,0.0,8.221184162423015,2.454255508258939,2,3.3058972023427486,2022
Solly March,Brighton,D M S,33,2745,6,7,73,65,8.069857582449913,9.567008880898356,0.0,0.0,22.130394473671913,9.125229258090258,6,8.069857582449913,2022
Douglas Luiz,Aston Villa,M S,37,2947,6,6,34,45,3.191290902905166,4.567880779504776,0.0,0.0,15.93928093276918,11.555413709953427,6,3.191290902905166,2022
Jadon Sancho,Manchester United,F M S,26,1710,6,3,21,43,3.7890949305146933,4.790035545825958,0.0,0.0,15.047371318563819,7.7076081950217485,6,3.7890949305146933,2022
Rúben Neves,Wolverhampton Wanderers,D M S,35,3022,6,1,67,32,5.0062854727730155,1.8384296027943492,0.0,0.0,10.452420154586434,8.169478697702289,3,2.7227791724726558,2022
Daniel Podence,Wolverhampton Wanderers,F M S,32,1769,6,0,43,37,3.7195267919451,2.4171172585338354,0.0,0.0,7.612551175057888,2.9080893266946077,6,3.7195267919451,2022
Jacob Ramsey,Aston Villa,M S,35,2675,6,7,33,42,5.228078290820122,5.728406075388193,0.0,0.0,14.287118025124073,6.712041646242142,6,5.228078290820122,2022
Evan Ferguson,Brighton,F S,19,950,6,2,36,11,5.667327303439379,0.6870213840156794,0.0,0.0,8.419608421623707,2.7216656310483813,6,5.667327303439379,2022
Michail Antonio,West Ham,F S,33,1847,5,3,39,15,7.201865157112479,1.6608268171548843,0.0,0.0,5.891749322414398,1.3007178837433457,5,7.201865157112479,2022
Kelechi Iheanacho,Leicester,F M S,28,1120,5,5,39,22,6.133550511673093,3.7054135501384735,0.0,0.0,9.021692022681236,1.8175414633005857,4,5.372381644323468,2022
Jack Grealish,Manchester City,F M S,28,2083,5,7,41,50,4.998198181390762,7.464956499636173,0.0,0.0,18.557112345471978,8.295533634722233,5,4.998198181390762,2022
Willian,Fulham,M S,27,2174,5,5,41,51,3.383236724883318,5.042201226577163,0.0,0.0,9.590186490677297,3.7871379032731056,5,3.383236724883318,2022
Riyad Mahrez,Manchester City,F M S,30,1941,5,10,43,51,5.864552567712963,6.157492842525244,0.0,0.0,18.33359582722187,11.644092932343483,4,5.1033805115148425,2022
