join_key,league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url,home_team_shortened
2022-03-01_Burnley,ENG-Premier League,2122,2022-03-01 Burnley-Leicester,1,2021,16588,2022-03-01,92,75,Burnley,Leicester,LEI,BUR,0,2,1.04214,1.79558,True,True,https://understat.com/match/16588,Burnley
2022-03-05_Aston,ENG-Premier League,2122,2022-03-05 Aston Villa-Southampton,1,2021,16646,2022-03-05,71,74,Aston Villa,Southampton,SOU,AVL,4,0,2.85379,1.32947,True,True,https://understat.com/match/16646,Aston
2022-03-05_Burnley,ENG-Premier League,2122,2022-03-05 Burnley-Chelsea,1,2021,16647,2022-03-05,92,80,Burnley,Chelsea,CHE,BUR,0,4,0.849232,2.2868,True,True,https://understat.com/match/16647,Burnley
2022-03-05_Leicester,ENG-Premier League,2122,2022-03-05 Leicester-Leeds,1,2021,16648,2022-03-05,75,245,Leicester,Leeds,LED,LEI,1,0,0.359129,2.14389,True,True,https://understat.com/match/16648,Leicester
2022-03-05_Liverpool,ENG-Premier League,2122,2022-03-05 Liverpool-West Ham,1,2021,16649,2022-03-05,87,81,Liverpool,West Ham,WHU,LIV,1,0,2.18865,1.33829,True,True,https://understat.com/match/16649,Liverpool
2022-03-05_Newcastle,ENG-Premier League,2122,2022-03-05 Newcastle United-Brighton,1,2021,16651,2022-03-05,86,220,Newcastle United,Brighton,BRI,NEW,2,1,1.58028,1.64995,True,True,https://understat.com/match/16651,Newcastle
2022-03-05_Norwich,ENG-Premier League,2122,2022-03-05 Norwich-Brentford,1,2021,16652,2022-03-05,79,244,Norwich,Brentford,BRE,NOR,1,3,0.77334,2.22064,True,True,https://understat.com/match/16652,Norwich
2022-03-05_Wolverhampton,ENG-Premier League,2122,2022-03-05 Wolverhampton Wanderers-Crystal Palace,1,2021,16655,2022-03-05,229,78,Wolverhampton Wanderers,Crystal Palace,CRY,WOL,0,2,0.710865,2.53759,True,True,https://understat.com/match/16655,Wolverhampton
2022-03-06_Manchester,ENG-Premier League,2122,2022-03-06 Manchester City-Manchester United,1,2021,16650,2022-03-06,88,89,Manchester City,Manchester United,MUN,MCI,4,1,2.74434,0.361782,True,True,https://understat.com/match/16650,Manchester
2022-03-06_Watford,ENG-Premier League,2122,2022-03-06 Watford-Arsenal,1,2021,16654,2022-03-06,90,83,Watford,Arsenal,ARS,WAT,2,3,1.29603,1.00457,True,True,https://understat.com/match/16654,Watford
2022-03-07_Tottenham,ENG-Premier League,2122,2022-03-07 Tottenham-Everton,1,2021,16653,2022-03-07,82,72,Tottenham,Everton,EVE,TOT,5,0,3.24279,0.208263,True,True,https://understat.com/match/16653,Tottenham
2022-03-10_Leeds,ENG-Premier League,2122,2022-03-10 Leeds-Aston Villa,1,2021,16572,2022-03-10,245,71,Leeds,Aston Villa,AVL,LED,0,3,0.194028,1.2729,True,True,https://understat.com/match/16572,Leeds
2022-03-10_Norwich,ENG-Premier League,2122,2022-03-10 Norwich-Chelsea,1,2021,16672,2022-03-10,79,80,Norwich,Chelsea,CHE,NOR,1,3,0.965723,2.1308,True,True,https://understat.com/match/16672,Norwich
2022-03-10_Southampton,ENG-Premier League,2122,2022-03-10 Southampton-Newcastle United,1,2021,16584,2022-03-10,74,86,Southampton,Newcastle United,NEW,SOU,1,2,1.79835,0.812233,True,True,https://understat.com/match/16584,Southampton
2022-03-10_Wolverhampton,ENG-Premier League,2122,2022-03-10 Wolverhampton Wanderers-Watford,1,2021,16565,2022-03-10,229,90,Wolverhampton Wanderers,Watford,WAT,WOL,4,0,1.55037,0.498696,True,True,https://understat.com/match/16565,Wolverhampton
2022-03-12_Brentford,ENG-Premier League,2122,2022-03-12 Brentford-Burnley,1,2021,16657,2022-03-12,244,92,Brentford,Burnley,BUR,BRE,2,0,1.82002,0.825311,True,True,https://understat.com/match/16657,Brentford
2022-03-12_Brighton,ENG-Premier League,2122,2022-03-12 Brighton-Liverpool,1,2021,16658,2022-03-12,220,87,Brighton,Liverpool,LIV,BRI,0,2,0.629316,2.48312,True,True,https://understat.com/match/16658,Brighton
2022-03-12_Manchester,ENG-Premier League,2122,2022-03-12 Manchester United-Tottenham,1,2021,16663,2022-03-12,89,82,Manchester United,Tottenham,TOT,MUN,3,2,1.0181,1.62374,True,True,https://understat.com/match/16663,Manchester
2022-03-13_Arsenal,ENG-Premier League,2122,2022-03-13 Arsenal-Leicester,1,2021,16656,2022-03-13,83,75,Arsenal,Leicester,LEI,ARS,2,0,2.93665,0.54911,True,True,https://understat.com/match/16656,Arsenal
2022-03-13_Chelsea,ENG-Premier League,2122,2022-03-13 Chelsea-Newcastle United,1,2021,16659,2022-03-13,80,86,Chelsea,Newcastle United,NEW,CHE,1,0,1.07072,0.246037,True,True,https://understat.com/match/16659,Chelsea
2022-03-13_Everton,ENG-Premier League,2122,2022-03-13 Everton-Wolverhampton Wanderers,1,2021,16661,2022-03-13,72,229,Everton,Wolverhampton Wanderers,WOL,EVE,0,1,0.397268,0.712135,True,True,https://understat.com/match/16661,Everton
2022-03-13_Leeds,ENG-Premier League,2122,2022-03-13 Leeds-Norwich,1,2021,16662,2022-03-13,245,79,Leeds,Norwich,NOR,LED,2,1,3.11755,1.40148,True,True,https://understat.com/match/16662,Leeds
2022-03-13_Southampton,ENG-Premier League,2122,2022-03-13 Southampton-Watford,1,2021,16664,2022-03-13,74,90,Southampton,Watford,WAT,SOU,1,2,1.25696,1.29385,True,True,https://understat.com/match/16664,Southampton
2022-03-13_West,ENG-Premier League,2122,2022-03-13 West Ham-Aston Villa,1,2021,16665,2022-03-13,81,71,West Ham,Aston Villa,AVL,WHU,2,1,1.58468,1.05391,True,True,https://understat.com/match/16665,West
2022-03-14_Crystal,ENG-Premier League,2122,2022-03-14 Crystal Palace-Manchester City,1,2021,16660,2022-03-14,78,88,Crystal Palace,Manchester City,MCI,CRY,0,0,0.474002,2.04021,True,True,https://understat.com/match/16660,Crystal
2022-03-16_Arsenal,ENG-Premier League,2122,2022-03-16 Arsenal-Liverpool,1,2021,16636,2022-03-16,83,87,Arsenal,Liverpool,LIV,ARS,0,2,0.534265,1.27681,True,True,https://understat.com/match/16636,Arsenal
2022-03-16_Brighton,ENG-Premier League,2122,2022-03-16 Brighton-Tottenham,1,2021,16528,2022-03-16,220,82,Brighton,Tottenham,TOT,BRI,0,2,1.04171,2.05196,True,True,https://understat.com/match/16528,Brighton
2022-03-17_Everton,ENG-Premier League,2122,2022-03-17 Everton-Newcastle United,1,2021,16571,2022-03-17,72,86,Everton,Newcastle United,NEW,EVE,1,0,0.708809,0.75803,True,True,https://understat.com/match/16571,Everton
2022-03-18_Wolverhampton,ENG-Premier League,2122,2022-03-18 Wolverhampton Wanderers-Leeds,1,2021,16675,2022-03-18,229,245,Wolverhampton Wanderers,Leeds,LED,WOL,2,3,1.24075,2.82103,True,True,https://understat.com/match/16675,Wolverhampton
2022-03-19_Aston,ENG-Premier League,2122,2022-03-19 Aston Villa-Arsenal,1,2021,16666,2022-03-19,71,83,Aston Villa,Arsenal,ARS,AVL,0,1,0.309375,1.14522,True,True,https://understat.com/match/16666,Aston
2022-03-20_Leicester,ENG-Premier League,2122,2022-03-20 Leicester-Brentford,1,2021,16668,2022-03-20,75,244,Leicester,Brentford,BRE,LEI,2,1,1.27865,1.72466,True,True,https://understat.com/match/16668,Leicester
2022-03-20_Tottenham,ENG-Premier League,2122,2022-03-20 Tottenham-West Ham,1,2021,16673,2022-03-20,82,81,Tottenham,West Ham,WHU,TOT,3,1,2.54795,0.644964,True,True,https://understat.com/match/16673,Tottenham
2022-04-02_Brighton,ENG-Premier League,2122,2022-04-02 Brighton-Norwich,1,2021,16685,2022-04-02,220,79,Brighton,Norwich,NOR,BRI,0,0,2.38297,0.494112,True,True,https://understat.com/match/16685,Brighton
2022-04-02_Burnley,ENG-Premier League,2122,2022-04-02 Burnley-Manchester City,1,2021,16684,2022-04-02,92,88,Burnley,Manchester City,MCI,BUR,0,2,0.0591223,1.62008,True,True,https://understat.com/match/16684,Burnley
2022-04-02_Chelsea,ENG-Premier League,2122,2022-04-02 Chelsea-Brentford,1,2021,16683,2022-04-02,80,244,Chelsea,Brentford,BRE,CHE,1,4,1.29014,2.43422,True,True,https://understat.com/match/16683,Chelsea
2022-04-02_Leeds,ENG-Premier League,2122,2022-04-02 Leeds-Southampton,1,2021,16681,2022-04-02,245,74,Leeds,Southampton,SOU,LED,1,1,1.50715,2.06387,True,True,https://understat.com/match/16681,Leeds
2022-04-02_Liverpool,ENG-Premier League,2122,2022-04-02 Liverpool-Watford,1,2021,16680,2022-04-02,87,90,Liverpool,Watford,WAT,LIV,2,0,2.23651,0.753307,True,True,https://understat.com/match/16680,Liverpool
2022-04-02_Manchester,ENG-Premier League,2122,2022-04-02 Manchester United-Leicester,1,2021,16679,2022-04-02,89,75,Manchester United,Leicester,LEI,MUN,1,1,0.902127,1.07638,True,True,https://understat.com/match/16679,Manchester
2022-04-02_Wolverhampton,ENG-Premier League,2122,2022-04-02 Wolverhampton Wanderers-Aston Villa,1,2021,16676,2022-04-02,229,71,Wolverhampton Wanderers,Aston Villa,AVL,WOL,2,1,1.62151,1.91256,True,True,https://understat.com/match/16676,Wolverhampton
2022-04-03_Tottenham,ENG-Premier League,2122,2022-04-03 Tottenham-Newcastle United,1,2021,16678,2022-04-03,82,86,Tottenham,Newcastle United,NEW,TOT,5,1,3.6081,0.538152,True,True,https://understat.com/match/16678,Tottenham
2022-04-03_West,ENG-Premier League,2122,2022-04-03 West Ham-Everton,1,2021,16677,2022-04-03,81,72,West Ham,Everton,EVE,WHU,2,1,1.49657,0.657846,True,True,https://understat.com/match/16677,West
2022-04-04_Crystal,ENG-Premier League,2122,2022-04-04 Crystal Palace-Arsenal,1,2021,16682,2022-04-04,78,83,Crystal Palace,Arsenal,ARS,CRY,3,0,1.39707,1.05199,True,True,https://understat.com/match/16682,Crystal
2022-04-06_Burnley,ENG-Premier League,2122,2022-04-06 Burnley-Everton,1,2021,16558,2022-04-06,92,72,Burnley,Everton,EVE,BUR,3,2,2.24439,2.31574,True,True,https://understat.com/match/16558,Burnley
2022-04-08_Newcastle,ENG-Premier League,2122,2022-04-08 Newcastle United-Wolverhampton Wanderers,1,2021,16689,2022-04-08,86,229,Newcastle United,Wolverhampton Wanderers,WOL,NEW,1,0,1.43878,0.306867,True,True,https://understat.com/match/16689,Newcastle
2022-04-09_Arsenal,ENG-Premier League,2122,2022-04-09 Arsenal-Brighton,1,2021,16695,2022-04-09,83,220,Arsenal,Brighton,BRI,ARS,1,2,2.35153,0.596106,True,True,https://understat.com/match/16695,Arsenal
2022-04-09_Aston,ENG-Premier League,2122,2022-04-09 Aston Villa-Tottenham,1,2021,16694,2022-04-09,71,82,Aston Villa,Tottenham,TOT,AVL,0,4,1.48712,0.983601,True,True,https://understat.com/match/16694,Aston
2022-04-09_Everton,ENG-Premier League,2122,2022-04-09 Everton-Manchester United,1,2021,16692,2022-04-09,72,89,Everton,Manchester United,MUN,EVE,1,0,0.357295,0.762357,True,True,https://understat.com/match/16692,Everton
2022-04-09_Southampton,ENG-Premier League,2122,2022-04-09 Southampton-Chelsea,1,2021,16687,2022-04-09,74,80,Southampton,Chelsea,CHE,SOU,0,6,0.564726,4.39683,True,True,https://understat.com/match/16687,Southampton
2022-04-09_Watford,ENG-Premier League,2122,2022-04-09 Watford-Leeds,1,2021,16686,2022-04-09,90,245,Watford,Leeds,LED,WAT,0,3,1.07422,0.895612,True,True,https://understat.com/match/16686,Watford
