join_key,league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url,home_team_shortened
2017-08-11_Arsenal,ENG-Premier League,1718,2017-08-11 Arsenal-Leicester,1,2017,7119,2017-08-11,83,75,Arsenal,Leicester,LEI,ARS,4,3,2.54329,1.46495,True,True,https://understat.com/match/7119,Arsenal
2017-08-12_Brighton,ENG-Premier League,1718,2017-08-12 Brighton-Manchester City,1,2017,7126,2017-08-12,220,88,Brighton,Manchester City,MCI,BRI,0,2,0.276343,1.86751,True,True,https://understat.com/match/7126,Brighton
2017-08-12_Chelsea,ENG-Premier League,1718,2017-08-12 Chelsea-Burnley,1,2017,7123,2017-08-12,80,92,Chelsea,Burnley,BUR,CHE,2,3,1.35651,0.564237,True,True,https://understat.com/match/7123,Chelsea
2017-08-12_Crystal,ENG-Premier League,1718,2017-08-12 Crystal Palace-Huddersfield,1,2017,7124,2017-08-12,78,219,Crystal Palace,Huddersfield,HUD,CRY,0,3,0.988934,1.73657,True,True,https://understat.com/match/7124,Crystal
2017-08-12_Everton,ENG-Premier League,1718,2017-08-12 Everton-Stoke,1,2017,7125,2017-08-12,72,85,Everton,Stoke,STO,EVE,1,0,0.720574,0.27644,True,True,https://understat.com/match/7125,Everton
2017-08-12_Southampton,ENG-Premier League,1718,2017-08-12 Southampton-Swansea,1,2017,7122,2017-08-12,74,84,Southampton,Swansea,SWA,SOU,0,0,2.21748,0.406196,True,True,https://understat.com/match/7122,Southampton
2017-08-12_Watford,ENG-Premier League,1718,2017-08-12 Watford-Liverpool,1,2017,7120,2017-08-12,90,87,Watford,Liverpool,LIV,WAT,3,3,2.17647,2.61549,True,True,https://understat.com/match/7120,Watford
2017-08-12_West,ENG-Premier League,1718,2017-08-12 West Bromwich Albion-Bournemouth,1,2017,7121,2017-08-12,76,73,West Bromwich Albion,Bournemouth,BOU,WBA,1,0,1.18399,0.378659,True,True,https://understat.com/match/7121,West
2017-08-13_Manchester,ENG-Premier League,1718,2017-08-13 Manchester United-West Ham,1,2017,7128,2017-08-13,89,81,Manchester United,West Ham,WHU,MUN,4,0,2.63853,0.62654,True,True,https://understat.com/match/7128,Manchester
2017-08-13_Newcastle,ENG-Premier League,1718,2017-08-13 Newcastle United-Tottenham,1,2017,7127,2017-08-13,86,82,Newcastle United,Tottenham,TOT,NEW,0,2,0.634633,2.34418,True,True,https://understat.com/match/7127,Newcastle
2017-08-19_Bournemouth,ENG-Premier League,1718,2017-08-19 Bournemouth-Watford,1,2017,7131,2017-08-19,73,90,Bournemouth,Watford,WAT,BOU,0,2,0.766694,2.17717,True,True,https://understat.com/match/7131,Bournemouth
2017-08-19_Burnley,ENG-Premier League,1718,2017-08-19 Burnley-West Bromwich Albion,1,2017,7132,2017-08-19,92,76,Burnley,West Bromwich Albion,WBA,BUR,0,1,1.37242,0.653058,True,True,https://understat.com/match/7132,Burnley
2017-08-19_Leicester,ENG-Premier League,1718,2017-08-19 Leicester-Brighton,1,2017,7133,2017-08-19,75,220,Leicester,Brighton,BRI,LEI,2,0,1.88355,0.123075,True,True,https://understat.com/match/7133,Leicester
2017-08-19_Liverpool,ENG-Premier League,1718,2017-08-19 Liverpool-Crystal Palace,1,2017,7134,2017-08-19,87,78,Liverpool,Crystal Palace,CRY,LIV,1,0,2.84978,0.727364,True,True,https://understat.com/match/7134,Liverpool
2017-08-19_Southampton,ENG-Premier League,1718,2017-08-19 Southampton-West Ham,1,2017,7130,2017-08-19,74,81,Southampton,West Ham,WHU,SOU,3,2,2.1424,1.53269,True,True,https://understat.com/match/7130,Southampton
2017-08-19_Stoke,ENG-Premier League,1718,2017-08-19 Stoke-Arsenal,1,2017,7135,2017-08-19,85,83,Stoke,Arsenal,ARS,STO,1,0,0.692644,1.40658,True,True,https://understat.com/match/7135,Stoke
2017-08-19_Swansea,ENG-Premier League,1718,2017-08-19 Swansea-Manchester United,1,2017,7129,2017-08-19,84,89,Swansea,Manchester United,MUN,SWA,0,4,0.304164,3.41021,True,True,https://understat.com/match/7129,Swansea
2017-08-20_Huddersfield,ENG-Premier League,1718,2017-08-20 Huddersfield-Newcastle United,1,2017,7136,2017-08-20,219,86,Huddersfield,Newcastle United,NEW,HUD,1,0,0.267008,0.973322,True,True,https://understat.com/match/7136,Huddersfield
