league,season,game,team,player,league_id,season_id,game_id,team_id,player_id,position,position_id,minutes,goals,own_goals,shots,xg,xg_chain,xg_buildup,assists,xa,key_passes,yellow_cards,red_cards
ENG-Premier League,1617,2016-08-13 Burnley-Swansea,Swansea,Wayne Routledge,1,2016,464,84,719,FWL,16,88,0,0,1,0.09903290122747421,0.20967400074005127,0.08449610322713852,0,0.1351740062236786,4,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,Crystal Palace,Andros Townsend,1,2016,462,78,775,AMR,11,90,0,0,6,0.20445600152015686,0.16421900689601898,0.0,0,0.07748699933290482,2,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,Crystal Palace,Connor Wickham,1,2016,462,78,519,FW,15,90,0,0,3,0.115665003657341,0.1081790030002594,0.05570660158991814,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,Crystal Palace,Damien Delaney,1,2016,462,78,511,DC,3,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,Crystal Palace,Jason Puncheon,1,2016,462,78,514,DMC,7,78,0,0,1,0.05373670160770416,0.10957899689674377,0.04269789904356003,0,0.013144499622285366,1,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,Crystal Palace,Joel Ward,1,2016,462,78,510,DR,2,90,0,0,1,0.05570660158991814,0.05570660158991814,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,Crystal Palace,Lee Chung-yong,1,2016,462,78,526,AMC,12,67,0,0,0,0.0,0.3582000136375427,0.095169797539711,0,0.3057279884815216,3,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,Crystal Palace,Martin Kelly,1,2016,462,78,525,Sub,17,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,Crystal Palace,Mile Jedinak,1,2016,462,78,515,DMC,7,90,0,0,0,0.0,0.11093500256538391,0.11093500256538391,0,0.06823749840259552,2,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,Crystal Palace,Pape Souaré,1,2016,462,78,513,DL,4,90,0,0,0,0.0,0.05570660158991814,0.05570660158991814,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,Crystal Palace,Scott Dann,1,2016,462,78,512,DC,3,90,0,0,1,0.012986700050532818,0.04269789904356003,0.04269789904356003,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,Crystal Palace,Wayne Hennessey,1,2016,462,78,509,GK,1,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,Crystal Palace,Wilfried Zaha,1,2016,462,78,522,AML,13,90,0,0,2,0.5491920113563538,0.6016640067100525,0.05247189849615097,0,0.0,0,1,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,Crystal Palace,Yannick Bolasie,1,2016,462,78,518,Sub,17,23,0,0,0,0.0,0.0,0.0,0,0.0,0,1,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,Crystal Palace,Yohan Cabaye,1,2016,462,78,516,Sub,17,12,0,0,0,0.0,0.01576549932360649,0.01576549932360649,0,0.012986700050532818,1,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,West Bromwich Albion,Ben Foster,1,2016,462,76,803,GK,1,90,0,0,0,0.0,0.0,0.0,0,0.020293299108743668,1,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,West Bromwich Albion,Claudio Yacob,1,2016,462,76,808,MC,9,90,0,0,2,0.04436739906668663,0.06353460252285004,0.06353460252285004,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,West Bromwich Albion,Craig Dawson,1,2016,462,76,804,DR,2,90,0,0,0,0.0,0.11258000135421753,0.11258000135421753,0,0.02248550020158291,1,1,0
