league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions
ENG-Premier League,1819,2019-04-28 Manchester United-Chelsea,1,2018,9550,2019-04-28 16:30:00,89,80,Manchester United,Chelsea,CHE,MUN,1,1.7725000000000002,1,1.6298,1.6298,0.5049699999999999,10.041666666666666,9,1,0.9574,1,1.12483,1.12483,-0.5049699999999999,11.555555555555555,6
ENG-Premier League,1819,2019-05-03 Everton-Burnley,1,2018,9562,2019-05-03 19:00:00,72,92,Everton,Burnley,BUR,EVE,0,0.355,0,0.473292,0.473292,-1.291318,13.5,3,3,2.4570999999999996,2,1.76461,1.76461,1.291318,7.384615384615385,7
ENG-Premier League,1819,2019-05-04 Bournemouth-Tottenham,1,2018,9565,2019-05-04 11:30:00,73,82,Bournemouth,Tottenham,TOT,BOU,0,0.4083,0,0.713362,0.713362,-1.512858,10.2,3,3,2.4237,1,2.22622,2.22622,1.512858,9.863636363636363,11
ENG-Premier League,1819,2019-05-04 Cardiff-Crystal Palace,1,2018,9564,2019-05-04 16:30:00,227,78,Cardiff,Crystal Palace,CRY,CAR,3,1.5733000000000001,3,1.80991,1.80991,0.31030999999999986,7.5,15,0,1.1833,2,1.4996,1.4996,-0.31030999999999986,6.944444444444445,8
ENG-Premier League,1819,2019-05-04 Newcastle United-Liverpool,1,2018,9559,2019-05-04 18:45:00,86,87,Newcastle United,Liverpool,LIV,NEW,3,1.483,3,1.48081,1.48081,0.18374000000000001,13.545454545454545,9,0,1.2226,2,1.29707,1.29707,-0.18374000000000001,21.7,4
ENG-Premier League,1819,2019-05-04 West Ham-Southampton,1,2018,9558,2019-05-04 14:00:00,81,74,West Ham,Southampton,SOU,WHU,0,0.24230000000000002,0,0.443686,0.443686,-1.554974,8.935483870967742,11,3,2.6261,3,1.99866,1.99866,1.554974,18.5,4
ENG-Premier League,1819,2019-05-04 Wolverhampton Wanderers-Fulham,1,2018,9557,2019-05-04 14:00:00,229,228,Wolverhampton Wanderers,Fulham,FLH,WOL,0,0.2953,0,0.512477,0.512477,-1.581493,8.363636363636363,2,3,2.5504,1,2.09397,2.09397,1.581493,18.25,7
ENG-Premier League,1819,2019-05-05 Arsenal-Brighton,1,2018,9566,2019-05-05 15:30:00,83,220,Arsenal,Brighton,BRI,ARS,1,1.0525,1,1.90585,1.14468,-0.45593000000000017,14.157894736842104,8,1,1.6879000000000002,1,2.36178,1.60061,0.45593000000000017,6.25,14
ENG-Premier League,1819,2019-05-05 Chelsea-Watford,1,2018,9563,2019-05-05 13:00:00,80,90,Chelsea,Watford,WAT,CHE,0,0.43879999999999997,0,1.2712,1.2712,-1.69358,12.571428571428571,13,3,2.4185000000000003,3,2.96478,2.96478,1.69358,7.56,15
ENG-Premier League,1819,2019-05-05 Huddersfield-Manchester United,1,2018,9561,2019-05-05 13:00:00,219,89,Huddersfield,Manchester United,MUN,HUD,1,2.1803999999999997,1,1.88049,1.88049,1.14386,7.65,19,1,0.6003000000000001,1,0.73663,0.73663,-1.14386,13.32,6
ENG-Premier League,1819,2019-05-06 Manchester City-Leicester,1,2018,9560,2019-05-06 19:00:00,88,75,Manchester City,Leicester,LEI,MCI,0,0.8385,0,0.537307,0.537307,-0.5488630000000001,47.833333333333336,4,3,1.8338999999999999,1,1.08617,1.08617,0.5488630000000001,8.303030303030303,14
