league,season,game,team,player,league_id,season_id,game_id,team_id,player_id,position,position_id,minutes,goals,own_goals,shots,xg,xg_chain,xg_buildup,assists,xa,key_passes,yellow_cards,red_cards
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Leicester,Adrien Silva,1,2018,9197,75,6464,DMC,7,81,0,0,0,0.0,0.06177879869937897,0.06177879869937897,0,0.0,0,0,0
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Leicester,Ben Chilwell,1,2018,9197,75,782,DL,4,90,0,0,0,0.0,0.057485200464725494,0.057485200464725494,0,0.10000099986791611,3,0,0
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Leicester,Daniel Amartey,1,2018,9197,75,759,DR,2,64,0,0,0,0.0,0.048448801040649414,0.048448801040649414,0,0.024298299103975296,1,1,0
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Leicester,Demarai Gray,1,2018,9197,75,762,AML,13,90,0,0,3,0.14458100497722626,0.22636500000953674,0.08178360015153885,0,0.0,0,0,0
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Leicester,Harry Maguire,1,2018,9197,75,1687,DC,3,90,0,0,0,0.0,0.024298299103975296,0.024298299103975296,0,0.0,0,0,0
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Leicester,James Maddison,1,2018,9197,75,6818,AMC,12,64,0,0,2,0.13970500230789185,0.1126910001039505,0.0,0,0.02415050007402897,1,0,0
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Leicester,Jamie Vardy,1,2018,9197,75,755,Sub,17,26,1,0,2,1.2309999465942383,1.3429700136184692,0.0,0,0.11196500062942505,1,0,0
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Leicester,Kasper Schmeichel,1,2018,9197,75,745,GK,1,90,0,0,1,0.08071509748697281,0.10593400150537491,0.10593400150537491,0,0.0,0,0,0
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Leicester,Kelechi Iheanacho,1,2018,9197,75,620,FW,15,90,0,0,2,0.08178360015153885,0.36616599559783936,0.2843819856643677,0,0.0,0,0,0
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Leicester,Rachid Ghezzal,1,2018,9197,75,3276,Sub,17,26,0,0,0,0.0,0.057485200464725494,0.057485200464725494,0,0.0,0,0,0
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Leicester,Ricardo Pereira,1,2018,9197,75,3303,AMR,11,90,0,0,1,0.013782399706542492,1.2794500589370728,0.9950670003890991,0,0.37292298674583435,2,0,0
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Leicester,Vicente Iborra,1,2018,9197,75,2065,Sub,17,9,0,0,0,0.0,0.057485200464725494,0.057485200464725494,0,0.0,0,0,0
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Leicester,Wes Morgan,1,2018,9197,75,748,DC,3,90,0,0,0,0.0,0.024298299103975296,0.024298299103975296,0,0.0,0,0,0
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Leicester,Wilfred Ndidi,1,2018,9197,75,5545,DMC,7,90,0,0,2,0.04656689986586571,0.10405199974775314,0.057485200464725494,0,0.057485200464725494,1,0,0
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Manchester United,Alexis Sánchez,1,2018,9197,89,498,FWL,16,90,0,0,1,0.039962101727724075,0.6713150143623352,0.11670199781656265,0,0.542959988117218,4,0,0
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Manchester United,Andreas Pereira,1,2018,9197,89,922,MC,9,90,0,0,0,0.0,0.13448399305343628,0.13448399305343628,0,0.0,0,1,0
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Manchester United,David de Gea,1,2018,9197,89,546,GK,1,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Manchester United,Eric Bailly,1,2018,9197,89,1739,DC,3,90,0,0,0,0.0,0.07612569630146027,0.07612569630146027,0,0.0,0,0,0
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,Manchester United,Fred,1,2018,9197,89,6817,MC,9,77,0,0,0,0.0,0.12117700278759003,0.12117700278759003,0,0.0,0,1,0
