,,,,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Brighton,Julio Enciso,PAR,"MF,FW",19,2004,5.3,257,5,24,106,131,21,257,29,17,58.6,7,24.1,193,1299,839,28,20,7,15,8,202,29
ENG-Premier League,2324,Brighton,Kaoru Mitoma,JPN,FW,26,1997,16.5,852,17,79,270,514,136,852,94,39,41.5,44,46.8,616,4879,3147,121,54,62,38,15,677,239
ENG-Premier League,2324,Brighton,Lewis Dunk,ENG,DF,31,1991,31.9,3481,554,1811,1542,145,51,3481,8,5,62.5,2,25.0,2417,10752,5605,33,18,2,9,2,2681,13
ENG-Premier League,2324,Brighton,Mahmoud Dahoud,GER,MF,27,1996,5.0,368,12,86,225,58,4,368,5,2,40.0,3,60.0,239,951,406,4,3,1,6,5,303,6
ENG-Premier League,2324,Brighton,Mark O'Mahony,IRL,FW,18,2005,0.7,27,2,6,15,6,2,27,0,0,,0,,16,66,10,0,0,0,4,0,21,0
ENG-Premier League,2324,Brighton,Odeluga Offiah,ENG,DF,20,2002,1.4,87,1,31,27,31,2,87,6,4,66.7,1,16.7,59,418,268,9,5,1,1,0,64,9
ENG-Premier League,2324,Brighton,Pascal Groß,GER,"MF,DF",32,1991,34.6,3534,133,826,1681,1050,70,3533,30,16,53.3,13,43.3,2284,10055,5189,83,69,8,35,28,2736,180
ENG-Premier League,2324,Brighton,Pervis Estupiñán,ECU,DF,25,1998,13.8,1109,56,256,546,316,37,1109,23,9,39.1,9,39.1,693,3046,1806,47,30,13,20,6,735,88
ENG-Premier League,2324,Brighton,Simon Adingra,CIV,FW,21,2002,24.7,1159,36,187,364,627,153,1159,123,50,40.7,64,52.0,773,5063,2996,111,48,63,48,28,795,278
ENG-Premier League,2324,Brighton,Solly March,ENG,"FW,DF",29,1994,6.2,336,12,71,123,145,18,336,18,8,44.4,8,44.4,198,975,491,14,7,3,8,10,211,44
ENG-Premier League,2324,Brighton,Tariq Lamptey,GHA,"DF,FW",22,2000,10.2,545,21,130,221,197,21,545,19,6,31.6,8,42.1,354,2092,1218,39,17,12,22,2,382,64
ENG-Premier League,2324,Brighton,Valentín Barco,ARG,"DF,FW",19,2004,3.4,274,7,73,102,100,5,274,11,5,45.5,4,36.4,181,697,367,8,4,0,5,4,188,20
ENG-Premier League,2324,Burnley,Aaron Ramsey,ENG,"MF,FW",20,2003,5.9,228,15,63,102,65,9,228,10,3,30.0,6,60.0,117,514,168,8,5,4,11,10,142,17
ENG-Premier League,2324,Burnley,Ameen Al-Dakhil,BEL,DF,21,2002,11.7,749,83,355,339,58,10,749,5,3,60.0,2,40.0,491,2471,1351,7,9,0,8,6,495,9
ENG-Premier League,2324,Burnley,Anass Zaroury,MAR,"FW,MF",22,2000,1.7,87,1,12,39,37,4,87,6,2,33.3,3,50.0,60,362,91,2,2,0,3,2,68,12
ENG-Premier League,2324,Burnley,Arijanet Muric,KVX,GK,24,1998,10.0,635,361,573,62,0,0,635,0,0,,0,,418,2331,1453,0,0,0,0,0,392,0
ENG-Premier League,2324,Burnley,Benson Manuel,ANG,"MF,FW",26,1997,1.3,82,0,9,25,48,3,82,12,4,33.3,6,50.0,63,515,225,5,7,0,5,4,68,14
ENG-Premier League,2324,Burnley,Charlie Taylor,ENG,DF,29,1993,25.9,1542,115,503,679,370,18,1542,17,9,52.9,6,35.3,723,3259,1497,36,18,5,18,10,861,81
ENG-Premier League,2324,Burnley,Connor Roberts,WAL,DF,27,1995,9.1,557,28,182,259,120,6,557,2,0,0.0,2,100.0,309,1163,620,6,10,0,3,1,358,13
ENG-Premier League,2324,Burnley,Dara O'Shea,IRL,DF,24,1999,32.1,2094,306,969,992,142,49,2094,2,1,50.0,1,50.0,1112,5725,3525,32,14,1,11,1,1306,10
ENG-Premier League,2324,Burnley,David Datro Fofana,CIV,FW,20,2002,9.8,307,10,36,130,147,45,307,41,15,36.6,22,53.7,187,1226,527,21,9,11,37,20,222,39
ENG-Premier League,2324,Burnley,Han-Noah Massengo,FRA,"MF,DF",22,2001,0.2,16,0,5,6,5,0,16,0,0,,0,,6,34,16,2,1,0,1,0,7,0
ENG-Premier League,2324,Burnley,Hannes Delcroix,HAI,DF,24,1999,6.5,419,42,175,204,40,4,419,6,3,50.0,2,33.3,241,847,451,2,2,0,5,3,268,6
ENG-Premier League,2324,Burnley,Hjalmar Ekdal,SWE,DF,24,1998,4.9,268,36,131,124,15,3,268,3,2,66.7,1,33.3,142,885,523,5,4,0,2,1,150,1
ENG-Premier League,2324,Burnley,Jack Cork,ENG,MF,34,1989,0.3,37,0,4,23,11,1,37,0,0,,0,,24,146,98,4,2,0,0,0,30,1
ENG-Premier League,2324,Burnley,Jacob Bruun Larsen,DEN,"MF,FW",24,1998,13.9,720,20,97,229,401,89,719,55,20,36.4,31,56.4,398,2539,1351,61,20,33,28,10,449,146
ENG-Premier League,2324,Burnley,James Trafford,ENG,GK,20,2002,28.0,1631,1036,1559,72,0,0,1631,2,2,100.0,0,0.0,1009,4620,2156,0,0,0,1,0,932,0
ENG-Premier League,2324,Burnley,Jay Rodriguez,ENG,FW,34,1989,9.1,314,11,48,165,101,24,313,9,6,66.7,3,33.3,152,441,137,2,3,1,20,5,225,28
ENG-Premier League,2324,Burnley,Jordan Beyer,GER,DF,23,2000,13.7,1022,159,570,429,26,8,1022,7,4,57.1,2,28.6,624,3314,2089,9,11,0,5,1,678,1
ENG-Premier League,2324,Burnley,Josh Brownhill,ENG,MF,27,1995,25.0,1351,71,326,627,410,42,1351,13,7,53.8,6,46.2,551,2278,1018,19,14,3,17,14,702,36
ENG-Premier League,2324,Burnley,Josh Cullen,IRL,MF,27,1996,22.9,1555,65,342,905,321,18,1555,13,3,23.1,5,38.5,848,3351,1691,22,21,2,17,10,1065,22
ENG-Premier League,2324,Burnley,Jóhann Berg Guðmundsson,ISL,"MF,FW",32,1990,13.2,656,25,108,284,268,26,656,16,5,31.3,7,43.8,371,1836,605,13,13,2,20,15,420,69
ENG-Premier League,2324,Burnley,Lorenz Assignon,TOG,DF,23,2000,13.7,670,46,210,270,207,30,670,32,13,40.6,17,53.1,283,1862,1063,38,16,12,27,13,303,57
ENG-Premier League,2324,Burnley,Luca Koleosho,ITA,"MF,FW",18,2004,10.8,416,5,33,149,240,52,416,78,33,42.3,39,50.0,299,2603,1383,53,37,29,22,14,313,82
ENG-Premier League,2324,Burnley,Lyle Foster,RSA,"FW,MF",22,2000,21.1,692,41,93,289,321,93,692,39,19,48.7,18,46.2,380,2464,1278,55,31,36,69,33,479,104
ENG-Premier League,2324,Burnley,Maxime Estève,FRA,DF,21,2002,14.5,979,158,465,463,52,8,979,3,1,33.3,0,0.0,514,2716,1664,15,18,2,5,3,600,3
ENG-Premier League,2324,Burnley,Michael Obafemi,IRL,"FW,MF",23,2000,0.2,9,0,0,3,6,4,9,3,3,100.0,0,0.0,6,32,11,0,0,0,0,1,6,3
ENG-Premier League,2324,Burnley,Mike Trésor,BEL,"FW,MF",24,1999,4.7,238,7,48,76,121,6,238,22,11,50.0,11,50.0,136,777,437,15,7,3,9,6,149,31
ENG-Premier League,2324,Burnley,Nathan Redmond,ENG,"FW,MF",29,1994,1.6,88,3,10,31,50,9,88,6,4,66.7,2,33.3,57,435,291,7,5,1,1,2,67,22
ENG-Premier League,2324,Burnley,Sander Berge,NOR,MF,25,1998,33.4,1887,133,494,997,414,41,1887,41,20,48.8,16,39.0,1076,6419,3091,64,57,9,23,23,1233,29
ENG-Premier League,2324,Burnley,Vitinho,BRA,"DF,MF",24,1999,25.7,1299,80,363,539,406,51,1299,58,25,43.1,25,43.1,634,3958,2038,59,38,18,34,26,678,110
ENG-Premier League,2324,Burnley,Wilson Odobert,FRA,"MF,FW",18,2004,23.3,844,26,144,305,416,98,844,110,53,48.2,49,44.5,545,4562,2919,102,56,48,48,30,600,123
ENG-Premier League,2324,Burnley,Zeki Amdouni,SUI,FW,22,2000,21.7,789,24,94,379,337,68,788,88,29,33.0,47,53.4,468,3229,1654,63,30,20,67,32,513,93
ENG-Premier League,2324,Chelsea,Alex Matos,ENG,MF,18,2004,0.0,0,0,0,0,0,0,0,0,0,,0,,1,1,0,0,0,0,0,1,1,0
ENG-Premier League,2324,Chelsea,Alfie Gilchrist,ENG,DF,19,2003,2.3,177,14,72,57,49,5,177,1,1,100.0,0,0.0,78,263,130,1,1,0,2,2,96,4
ENG-Premier League,2324,Chelsea,Armando Broja,ALB,FW,21,2001,5.0,167,3,9,56,106,35,167,31,13,41.9,16,51.6,117,695,286,11,4,8,17,14,131,37
ENG-Premier League,2324,Chelsea,Axel Disasi,FRA,DF,25,1998,28.7,2496,291,1193,1140,175,24,2496,22,12,54.5,5,22.7,1613,7182,4223,30,20,3,16,12,1892,21
ENG-Premier League,2324,Chelsea,Ben Chilwell,ENG,DF,26,1996,8.4,605,21,129,258,221,28,605,19,7,36.8,8,42.1,333,1713,844,22,14,5,21,5,394,59
ENG-Premier League,2324,Chelsea,Benoît Badiashile,FRA,DF,22,2001,14.9,1321,178,662,612,52,11,1321,1,0,0.0,0,0.0,765,3225,1734,3,5,1,6,4,976,3
ENG-Premier League,2324,Chelsea,Carney Chukwuemeka,ENG,"MF,FW",19,2003,2.5,167,1,21,77,72,12,167,12,2,16.7,10,83.3,107,646,231,4,5,2,5,4,129,19
ENG-Premier League,2324,Chelsea,Cesare Casadei,ITA,"FW,MF",20,2003,0.9,81,6,17,49,15,1,81,2,2,100.0,0,0.0,36,234,59,1,0,0,3,0,62,3
ENG-Premier League,2324,Chelsea,Christopher Nkunku,FRA,"FW,MF",25,1997,4.9,244,5,25,95,128,27,244,8,2,25.0,5,62.5,144,606,298,10,6,2,17,8,202,35
ENG-Premier League,2324,Chelsea,Cole Palmer,ENG,"FW,MF",21,2002,29.0,1754,22,183,742,852,126,1745,104,52,50.0,46,44.2,1148,7236,3492,117,66,46,57,44,1362,195
ENG-Premier League,2324,Chelsea,Conor Gallagher,ENG,MF,23,2000,34.8,2443,77,468,1221,793,79,2443,65,38,58.5,18,27.7,1453,7243,2979,62,54,14,69,39,1739,122
ENG-Premier League,2324,Chelsea,Deivid Washington,BRA,"DF,FW",18,2005,0.1,5,0,1,3,1,1,5,1,0,0.0,1,100.0,2,6,0,0,0,0,0,1,2,1
ENG-Premier League,2324,Chelsea,Enzo Fernández,ARG,MF,22,2001,24.5,2128,67,442,1209,488,47,2126,44,23,52.3,17,38.6,1315,6080,3109,52,46,8,29,24,1675,54
ENG-Premier League,2324,Chelsea,Ian Maatsen,NED,"FW,MF",21,2002,2.3,179,7,49,56,75,8,179,4,0,0.0,4,100.0,100,555,315,9,5,2,8,7,117,15
ENG-Premier League,2324,Chelsea,Jimi Tauriainen,ENG,FW,19,2004,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Joshua Acheampong,ENG,DF,17,2006,0.1,6,5,5,0,1,0,6,0,0,,0,,1,18,12,0,0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Lesley Ugochukwu,FRA,MF,19,2004,3.3,214,14,66,120,31,2,214,6,3,50.0,1,16.7,128,620,358,8,2,2,3,3,162,3
ENG-Premier League,2324,Chelsea,Levi Colwill,ENG,DF,20,2003,20.0,1392,108,570,669,164,26,1392,13,9,69.2,4,30.8,766,3602,1985,23,17,2,22,4,873,27
ENG-Premier League,2324,Chelsea,Malo Gusto,FRA,DF,20,2003,19.5,1641,71,470,698,499,49,1641,42,17,40.5,20,47.6,972,5376,2791,78,41,16,32,12,1103,135
ENG-Premier League,2324,Chelsea,Marc Cucurella,ESP,DF,25,1998,19.8,1426,91,575,590,270,27,1426,13,4,30.8,7,53.8,657,2861,1579,31,15,3,15,6,873,73
ENG-Premier League,2324,Chelsea,Mason Burstow,ENG,FW,19,2003,0.1,6,0,0,1,5,1,6,0,0,,0,,2,1,0,0,0,0,1,0,3,1
ENG-Premier League,2324,Chelsea,Moisés Caicedo,ECU,MF,21,2001,31.8,2452,122,687,1405,382,9,2452,56,26,46.4,24,42.9,1378,5497,2466,27,31,1,36,24,1828,27
ENG-Premier League,2324,Chelsea,Mykhailo Mudryk,UKR,FW,22,2001,17.5,777,14,116,255,420,78,777,81,39,48.1,31,38.3,509,4183,2418,92,56,36,54,22,572,139
ENG-Premier League,2324,Chelsea,Nicolas Jackson,SEN,FW,22,2001,31.1,998,28,94,450,480,151,998,105,54,51.4,36,34.3,616,4579,2122,70,44,32,87,66,752,200
ENG-Premier League,2324,Chelsea,Noni Madueke,ENG,FW,21,2002,11.7,666,18,85,224,373,77,665,86,37,43.0,37,43.0,428,3556,2191,76,36,38,25,14,504,136
ENG-Premier League,2324,Chelsea,Raheem Sterling,ENG,"FW,MF",28,1994,22.0,1019,8,77,324,638,167,1019,132,45,34.1,70,53.0,744,5113,3063,120,51,65,54,44,821,242
ENG-Premier League,2324,Chelsea,Reece James,ENG,DF,23,1999,4.7,391,26,118,153,124,20,391,15,9,60.0,4,26.7,217,1061,548,19,8,3,6,6,245,35
ENG-Premier League,2324,Chelsea,Robert Sánchez,ESP,GK,25,1997,15.9,649,561,644,5,0,0,649,0,0,,0,,392,1890,1130,0,0,0,1,0,360,0
ENG-Premier League,2324,Chelsea,Roméo Lavia,BEL,MF,19,2004,0.4,30,1,2,26,2,0,30,0,0,,0,,22,83,40,0,0,0,0,0,26,0
ENG-Premier League,2324,Chelsea,Thiago Silva,BRA,DF,38,1984,28.1,2549,398,1280,1198,79,24,2549,4,2,50.0,0,0.0,1623,6862,3867,2,11,0,7,1,1891,5
ENG-Premier League,2324,Chelsea,Trevoh Chalobah,ENG,DF,24,1999,10.6,886,122,454,372,63,4,886,2,1,50.0,1,50.0,475,1552,709,5,5,2,10,3,633,9
ENG-Premier League,2324,Chelsea,Đorđe Petrović,SRB,GK,23,1999,22.1,855,755,852,3,0,0,855,0,0,,0,,482,2076,1103,0,0,0,1,0,475,0
ENG-Premier League,2324,Crystal Palace,Adam Wharton,ENG,MF,19,2004,14.4,742,29,143,426,183,4,742,7,3,42.9,2,28.6,346,1441,723,14,23,0,12,12,449,10
ENG-Premier League,2324,Crystal Palace,Cheick Doucouré,MLI,MF,23,2000,10.2,545,25,145,312,97,7,545,13,10,76.9,3,23.1,276,1153,579,9,9,1,16,8,318,5
ENG-Premier League,2324,Crystal Palace,Chris Richards,USA,"DF,MF",23,2000,23.3,1195,157,557,568,77,21,1195,1,1,100.0,0,0.0,574,2313,890,1,6,0,7,4,678,1
ENG-Premier League,2324,Crystal Palace,Daniel Muñoz,COL,"DF,MF",27,1996,16.0,947,54,262,411,284,42,947,28,13,46.4,12,42.9,385,1841,873,25,17,5,21,7,465,80
ENG-Premier League,2324,Crystal Palace,David Ozoh,ENG,"MF,DF",18,2005,1.7,73,1,19,44,11,0,73,3,1,33.3,2,66.7,37,161,39,2,2,0,2,4,42,3
ENG-Premier League,2324,Crystal Palace,Dean Henderson,ENG,GK,26,1997,18.0,536,478,536,0,0,0,536,0,0,,0,,284,1668,734,0,0,0,1,0,233,0
ENG-Premier League,2324,Crystal Palace,Eberechi Eze,ENG,"MF,FW",25,1998,22.8,1274,11,121,522,658,103,1273,140,69,49.3,64,45.7,789,4822,2098,68,61,43,77,48,887,139
ENG-Premier League,2324,Crystal Palace,James Tomkins,ENG,DF,34,1989,0.1,25,2,11,12,2,0,25,0,0,,0,,8,26,12,0,0,0,0,0,13,0
ENG-Premier League,2324,Crystal Palace,Jaïro Riedewald,NED,"MF,FW",26,1996,2.6,138,3,23,79,37,6,138,3,1,33.3,2,66.7,63,243,79,3,0,2,4,2,84,3
ENG-Premier League,2324,Crystal Palace,Jean-Philippe Mateta,FRA,FW,26,1997,25.4,725,19,66,303,373,102,723,65,25,38.5,36,55.4,427,2104,740,29,15,14,89,78,539,135
ENG-Premier League,2324,Crystal Palace,Jefferson Lerma,COL,"MF,DF",28,1994,26.7,1513,99,413,822,290,40,1513,20,11,55.0,6,30.0,735,3033,1410,14,17,2,26,14,893,51
ENG-Premier League,2324,Crystal Palace,Jeffrey Schlupp,GHA,"FW,MF",30,1992,15.0,536,22,110,249,185,27,536,41,17,41.5,20,48.8,288,1372,626,20,10,6,41,23,338,52
ENG-Premier League,2324,Crystal Palace,Jesurun Rak Sakyi,ENG,"MF,FW",20,2002,1.5,77,1,10,19,48,13,77,10,4,40.0,5,50.0,46,252,145,7,3,5,4,3,54,18
ENG-Premier League,2324,Crystal Palace,Joachim Andersen,DEN,DF,27,1996,37.9,2609,337,1320,1160,140,44,2609,23,14,60.9,6,26.1,1367,7243,4207,21,11,0,11,6,1604,10
ENG-Premier League,2324,Crystal Palace,Joel Ward,ENG,DF,33,1989,22.0,1167,107,437,551,187,10,1167,12,8,66.7,4,33.3,490,2018,1015,16,9,0,12,3,599,14
ENG-Premier League,2324,Crystal Palace,Jordan Ayew,GHA,"FW,MF",31,1991,28.3,1349,24,182,592,598,95,1349,130,52,40.0,57,43.8,836,5509,2119,74,55,20,85,80,967,173
ENG-Premier League,2324,Crystal Palace,Marc Guéhi,ENG,DF,23,2000,22.5,1501,196,761,678,67,12,1501,13,7,53.8,4,30.8,898,4190,2201,15,9,1,9,2,1011,7
ENG-Premier League,2324,Crystal Palace,Matheus França,BRA,"MF,FW",19,2004,2.6,119,3,31,45,51,9,119,14,4,28.6,9,64.3,81,722,372,12,11,5,4,7,73,12
ENG-Premier League,2324,Crystal Palace,Michael Olise,FRA,"FW,MF",21,2001,14.2,959,10,102,396,483,80,958,83,40,48.2,33,39.8,563,3979,2210,68,50,27,41,33,692,134
ENG-Premier League,2324,Crystal Palace,Naouirou Ahamada,FRA,"MF,FW",21,2002,3.9,240,6,46,123,75,8,240,13,7,53.8,5,38.5,150,1018,486,19,8,4,8,11,169,20
ENG-Premier League,2324,Crystal Palace,Nathaniel Clyne,ENG,DF,32,1991,14.9,722,40,273,323,131,7,722,16,8,50.0,6,37.5,326,1435,658,10,12,1,13,0,412,18
ENG-Premier League,2324,Crystal Palace,Odsonne Édouard,FRA,"FW,MF",25,1998,17.3,597,18,59,222,326,98,597,50,19,38.0,24,48.0,341,1762,877,33,18,25,55,26,415,100
ENG-Premier League,2324,Crystal Palace,Remi Matthews,ENG,GK,29,1994,0.0,6,5,6,0,0,0,6,0,0,,0,,2,18,0,0,0,0,0,0,1,0
ENG-Premier League,2324,Crystal Palace,Sam Johnstone,ENG,GK,30,1993,20.0,640,539,637,3,0,0,640,0,0,,0,,350,2039,1281,0,0,0,0,0,287,0
ENG-Premier League,2324,Crystal Palace,Tyrick Mitchell,ENG,"DF,MF",23,1999,35.6,2038,118,739,762,555,54,2038,37,18,48.6,17,45.9,818,3253,1564,32,23,9,46,28,979,159
ENG-Premier League,2324,Crystal Palace,Will Hughes,ENG,MF,28,1995,21.0,1094,45,228,657,219,15,1094,15,9,60.0,3,20.0,463,1931,900,14,14,0,22,27,609,17
ENG-Premier League,2324,Everton,Abdoulaye Doucouré,MLI,"FW,MF",30,1993,29.2,1190,36,188,523,495,100,1190,48,25,52.1,21,43.8,635,3292,1692,55,37,17,61,42,800,140
ENG-Premier League,2324,Everton,Alex Iwobi,NGA,MF,27,1996,1.6,58,0,5,17,38,3,58,4,3,75.0,1,25.0,33,316,221,6,5,2,3,1,34,8
ENG-Premier League,2324,Everton,Amadou Onana,BEL,MF,21,2001,23.2,1291,61,280,724,297,29,1291,27,12,44.4,8,29.6,657,2985,1376,21,30,5,20,10,839,39
ENG-Premier League,2324,Everton,André Gomes,POR,"MF,FW",30,1993,5.6,352,10,57,179,121,11,352,12,3,25.0,8,66.7,183,868,333,8,7,3,8,6,232,29
ENG-Premier League,2324,Everton,Arnaut Danjuma,NED,"MF,FW",26,1997,6.6,223,4,23,77,127,32,223,21,8,38.1,11,52.4,147,1182,599,24,15,11,10,7,147,44
ENG-Premier League,2324,Everton,Ashley Young,ENG,"DF,MF",38,1985,25.3,1284,77,378,554,365,20,1284,27,12,44.4,12,44.4,609,2909,1490,40,24,5,16,13,653,61
ENG-Premier League,2324,Everton,Ben Godfrey,ENG,DF,25,1998,12.4,655,67,221,265,172,19,655,14,5,35.7,9,64.3,233,1158,571,11,12,0,10,6,283,26
ENG-Premier League,2324,Everton,Beto,GNB,FW,25,1998,10.6,373,16,30,141,206,64,372,35,15,42.9,17,48.6,183,1021,384,14,9,13,47,22,250,58
ENG-Premier League,2324,Everton,Dominic Calvert-Lewin,ENG,FW,26,1997,24.1,738,50,79,263,399,124,736,43,14,32.6,26,60.5,357,2068,794,36,21,22,65,25,565,122
ENG-Premier League,2324,Everton,Dwight McNeil,ENG,"MF,FW",23,1999,32.1,1621,51,247,683,724,72,1621,66,30,45.5,31,47.0,905,5845,2583,80,62,14,67,60,1032,147
ENG-Premier League,2324,Everton,Idrissa Gana Gueye,SEN,MF,33,1989,20.9,1126,59,280,608,252,21,1126,25,11,44.0,11,44.0,592,2976,1431,29,26,2,17,20,670,41
ENG-Premier League,2324,Everton,Jack Harrison,ENG,"MF,FW",26,1996,24.6,935,36,167,338,445,59,935,75,29,38.7,39,52.0,539,3250,1546,65,31,14,68,41,580,135
ENG-Premier League,2324,Everton,James Garner,ENG,MF,22,2001,33.4,1610,83,307,776,549,41,1610,41,19,46.3,16,39.0,736,3856,1657,36,37,5,33,10,857,76
ENG-Premier League,2324,Everton,James Tarkowski,ENG,DF,30,1992,38.0,2014,352,1000,848,179,84,2014,20,16,80.0,4,20.0,918,5010,3073,15,12,0,16,16,1076,20
ENG-Premier League,2324,Everton,Jarrad Branthwaite,ENG,DF,21,2002,34.6,1791,307,961,777,61,39,1791,8,5,62.5,2,25.0,759,3161,1557,2,5,1,20,2,903,6
ENG-Premier League,2324,Everton,Jordan Pickford,ENG,GK,29,1994,38.0,1680,1106,1544,141,0,0,1680,1,1,100.0,0,0.0,904,6014,3889,1,0,0,0,0,773,0
ENG-Premier League,2324,Everton,Lewis Dobbin,ENG,MF,20,2003,2.6,127,0,24,42,65,11,127,21,6,28.6,15,71.4,89,622,211,6,11,4,12,6,80,20
ENG-Premier League,2324,Everton,Lewis Warrington,ENG,FW,20,2002,0.0,3,0,1,2,0,0,3,0,0,,0,,1,5,5,0,0,0,0,0,1,0
ENG-Premier League,2324,Everton,Michael Keane,ENG,DF,30,1993,4.9,270,35,122,126,24,11,270,3,2,66.7,1,33.3,154,595,296,4,2,0,2,3,170,3
ENG-Premier League,2324,Everton,Nathan Patterson,SCO,DF,21,2001,11.2,677,49,199,275,209,9,677,18,7,38.9,10,55.6,291,1263,642,17,14,4,19,6,338,39
ENG-Premier League,2324,Everton,Neal Maupay,FRA,FW,26,1996,1.2,40,1,1,21,19,8,40,0,0,,0,,20,89,34,1,1,1,6,3,28,6
ENG-Premier League,2324,Everton,Séamus Coleman,IRL,DF,34,1988,7.4,388,42,136,152,103,3,388,13,6,46.2,7,53.8,162,837,387,5,5,1,7,4,176,16
ENG-Premier League,2324,Everton,Thomas Cannon,IRL,FW,20,2002,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Everton,Tyler Onyango,ENG,MF,20,2003,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Everton,Vitaliy Mykolenko,UKR,DF,24,1999,27.4,1501,123,531,611,374,30,1501,31,18,58.1,11,35.5,608,2518,1028,14,22,0,39,11,691,68
ENG-Premier League,2324,Everton,Youssef Chermiti,POR,FW,19,2004,2.3,106,3,11,37,59,19,106,11,3,27.3,7,63.6,55,320,105,5,1,3,14,6,76,15
ENG-Premier League,2324,Fulham,Adama Traoré,ESP,"FW,MF",27,1996,4.2,194,4,28,51,118,24,194,17,9,52.9,6,35.3,134,1227,676,29,13,13,13,9,154,48
ENG-Premier League,2324,Fulham,Aleksandar Mitrović,SRB,FW,28,1994,0.4,12,0,1,6,6,4,12,3,3,100.0,0,0.0,5,29,15,0,0,0,0,0,8,0
ENG-Premier League,2324,Fulham,Alex Iwobi,NGA,"FW,MF",27,1996,24.4,1282,19,190,585,537,81,1282,72,37,51.4,32,44.4,866,5856,2979,109,80,27,50,28,1004,175
ENG-Premier League,2324,Fulham,Andreas Pereira,BRA,MF,27,1996,29.0,1516,20,161,662,703,64,1516,41,19,46.3,22,53.7,829,4460,2016,56,51,13,49,41,1013,125
ENG-Premier League,2324,Fulham,Antonee Robinson,USA,DF,25,1997,36.3,2536,165,930,977,660,63,2536,81,37,45.7,35,43.2,1267,7547,4004,99,70,9,47,16,1376,194
ENG-Premier League,2324,Fulham,Armando Broja,ALB,FW,21,2001,1.0,43,0,5,15,23,4,43,6,2,33.3,4,66.7,23,162,62,2,2,0,3,4,37,7
ENG-Premier League,2324,Fulham,Bernd Leno,GER,GK,31,1992,38.0,1657,1275,1645,12,0,0,1657,0,0,,0,,1031,4482,2432,0,0,0,1,0,942,0
ENG-Premier League,2324,Fulham,Bobby De Cordova-Reid,JAM,FW,30,1993,15.8,671,23,98,301,277,55,671,25,8,32.0,12,48.0,389,1875,900,35,18,11,33,10,475,95
ENG-Premier League,2324,Fulham,Calvin Bassey,NGA,DF,23,1999,25.6,1901,305,1054,830,37,9,1901,14,11,78.6,2,14.3,1179,6037,3035,15,11,2,12,8,1291,4
ENG-Premier League,2324,Fulham,Carlos Vinícius,BRA,FW,28,1995,3.5,102,1,11,49,45,15,102,8,2,25.0,6,75.0,66,322,91,3,4,2,11,7,80,13
ENG-Premier League,2324,Fulham,Fodé Ballo-Touré,SEN,"DF,MF",26,1997,0.8,91,4,35,39,18,1,91,6,3,50.0,2,33.3,48,300,163,5,2,1,0,0,50,4
ENG-Premier League,2324,Fulham,Harrison Reed,ENG,MF,28,1995,14.7,883,34,214,488,182,10,883,10,5,50.0,5,50.0,449,1715,590,10,10,1,19,13,603,40
ENG-Premier League,2324,Fulham,Harry Wilson,WAL,FW,26,1997,18.0,828,24,118,352,371,53,828,34,15,44.1,16,47.1,505,3258,1513,41,25,17,32,12,606,130
ENG-Premier League,2324,Fulham,Issa Diop,FRA,DF,26,1997,15.8,1258,168,669,568,24,7,1258,1,1,100.0,0,0.0,794,4396,2661,11,8,0,3,5,884,1
ENG-Premier League,2324,Fulham,João Palhinha,POR,MF,28,1995,30.0,1760,120,569,967,243,41,1760,22,11,50.0,9,40.9,802,2836,1054,8,12,0,29,26,1015,14
ENG-Premier League,2324,Fulham,Kenny Tete,NED,DF,27,1995,9.6,647,40,215,278,161,11,647,20,9,45.0,10,50.0,303,1400,650,20,15,2,10,3,366,38
ENG-Premier League,2324,Fulham,Luke Harris,WAL,MF,18,2005,0.8,19,1,8,6,5,1,19,2,0,0.0,2,100.0,9,39,6,0,1,0,0,0,11,0
ENG-Premier League,2324,Fulham,Raúl Jiménez,MEX,FW,32,1991,15.5,567,22,58,269,240,67,567,24,10,41.7,12,50.0,317,1407,453,11,14,5,44,32,442,87
ENG-Premier League,2324,Fulham,Rodrigo Muniz,BRA,FW,22,2001,17.7,462,30,45,201,220,118,462,20,5,25.0,13,65.0,257,788,258,8,4,4,54,34,343,76
ENG-Premier League,2324,Fulham,Saša Lukić,SRB,MF,26,1996,12.5,625,36,167,361,109,23,625,8,5,62.5,3,37.5,342,1634,776,12,12,1,11,10,374,27
