,,,,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Bournemouth,Philip Billing,DEN,MF,27,1996,15.5,537,518,17,4,0,6,29,5,6,3,1,0,404,2,17
ENG-Premier League,2324,Bournemouth,Romain Faivre,FRA,"MF,FW",25,1998,0.5,26,25,1,1,0,0,3,0,0,0,0,0,19,0,0
ENG-Premier League,2324,Bournemouth,Ryan Christie,SCO,MF,28,1995,32.3,1300,1217,78,22,17,18,73,2,30,29,0,0,988,5,26
ENG-Premier League,2324,Bournemouth,Tyler Adams,USA,MF,24,1999,1.3,71,67,4,3,0,1,1,1,0,0,0,0,59,0,0
ENG-Premier League,2324,Brentford,Aaron Hickey,SCO,DF,21,2002,7.9,277,254,23,3,1,3,5,20,0,0,0,0,243,0,7
ENG-Premier League,2324,Brentford,Ben Mee,ENG,DF,33,1989,14.1,667,594,72,15,0,3,5,56,0,0,0,0,511,1,6
ENG-Premier League,2324,Brentford,Bryan Mbeumo,CMR,FW,23,1999,21.8,765,668,89,26,15,4,92,15,47,21,10,3,511,8,29
ENG-Premier League,2324,Brentford,Christian Nørgaard,DEN,MF,29,1994,27.8,1501,1422,73,23,8,8,22,32,1,0,0,0,1199,6,16
ENG-Premier League,2324,Brentford,Ethan Pinnock,JAM,DF,30,1993,28.0,1432,1374,55,26,0,8,7,24,0,0,0,0,1192,3,13
ENG-Premier League,2324,Brentford,Frank Onyeka,NGA,MF,25,1998,12.9,396,389,6,2,2,0,16,4,0,0,0,0,299,1,13
ENG-Premier League,2324,Brentford,Ivan Toney,ENG,FW,27,1996,16.1,426,395,23,8,5,0,22,8,2,0,0,0,228,8,22
