,,,,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Chelsea,Armando Broja,ALB,FW,21,2001,5.0,94,87,7,1,0,0,1,0,0,0,0,0,83,0,0
ENG-Premier League,2324,Chelsea,Axel Disasi,FRA,DF,25,1998,28.7,2256,2153,98,49,3,11,10,43,0,0,0,0,2031,5,19
ENG-Premier League,2324,Chelsea,Ben Chilwell,ENG,DF,26,1996,8.4,495,416,73,11,0,0,43,41,21,9,11,0,373,6,19
ENG-Premier League,2324,Chelsea,Benoît Badiashile,FRA,DF,22,2001,14.9,1173,1137,36,27,1,2,2,6,0,0,0,0,1065,0,6
ENG-Premier League,2324,Chelsea,Carney Chukwuemeka,ENG,"MF,FW",19,2003,2.5,134,134,0,0,2,0,1,0,0,0,0,0,115,0,4
ENG-Premier League,2324,Chelsea,Cesare Casadei,ITA,"FW,MF",20,2003,0.9,65,65,0,0,0,0,0,0,0,0,0,0,53,0,1
ENG-Premier League,2324,Chelsea,Christopher Nkunku,FRA,"FW,MF",25,1997,4.9,183,166,16,0,3,1,4,1,3,1,0,0,159,1,5
ENG-Premier League,2324,Chelsea,Cole Palmer,ENG,"FW,MF",21,2002,29.0,1415,1294,111,23,27,14,81,22,55,24,12,0,1121,10,37
ENG-Premier League,2324,Chelsea,Conor Gallagher,ENG,MF,23,2000,34.8,2018,1889,122,50,5,7,64,17,45,15,12,2,1801,7,29
ENG-Premier League,2324,Chelsea,Deivid Washington,BRA,"DF,FW",18,2005,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ENG-Premier League,2324,Chelsea,Enzo Fernández,ARG,MF,22,2001,24.5,1862,1756,89,52,21,28,45,5,22,4,7,0,1574,17,30
ENG-Premier League,2324,Chelsea,Ian Maatsen,NED,"FW,MF",21,2002,2.3,138,126,12,0,1,0,8,11,1,0,1,0,97,0,1
ENG-Premier League,2324,Chelsea,Jimi Tauriainen,ENG,FW,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Joshua Acheampong,ENG,DF,17,2006,0.1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0
ENG-Premier League,2324,Chelsea,Lesley Ugochukwu,FRA,MF,19,2004,3.3,183,183,0,0,0,1,0,0,0,0,0,0,155,0,2
ENG-Premier League,2324,Chelsea,Levi Colwill,ENG,DF,20,2003,20.0,1163,1033,126,28,4,0,12,94,0,0,0,0,965,4,17
ENG-Premier League,2324,Chelsea,Malo Gusto,FRA,DF,20,2003,19.5,1423,1244,176,38,2,0,64,138,0,0,0,0,1230,3,29
ENG-Premier League,2324,Chelsea,Marc Cucurella,ESP,DF,25,1998,19.8,1196,1043,153,30,1,2,16,123,0,0,0,0,1036,0,26
ENG-Premier League,2324,Chelsea,Mason Burstow,ENG,FW,19,2003,0.1,4,3,1,0,0,0,0,0,0,0,0,0,3,0,1
ENG-Premier League,2324,Chelsea,Moisés Caicedo,ECU,MF,21,2001,31.8,2119,2065,45,39,12,12,10,3,0,0,0,0,1907,9,29
ENG-Premier League,2324,Chelsea,Mykhailo Mudryk,UKR,FW,22,2001,17.5,566,498,62,4,5,9,78,5,52,24,11,2,385,6,14
ENG-Premier League,2324,Chelsea,Nicolas Jackson,SEN,FW,22,2001,31.1,666,613,52,1,11,0,5,2,0,0,0,0,515,1,25
ENG-Premier League,2324,Chelsea,Noni Madueke,ENG,FW,21,2002,11.7,486,472,10,2,2,0,22,6,2,1,0,0,412,4,6
ENG-Premier League,2324,Chelsea,Raheem Sterling,ENG,"FW,MF",28,1994,22.0,728,716,7,0,11,1,59,6,0,0,0,0,538,5,34
ENG-Premier League,2324,Chelsea,Reece James,ENG,DF,23,1999,4.7,341,284,57,10,4,2,28,46,1,0,1,0,275,0,5
ENG-Premier League,2324,Chelsea,Robert Sánchez,ESP,GK,25,1997,15.9,609,487,120,29,0,2,0,0,0,0,0,0,500,2,0
ENG-Premier League,2324,Chelsea,Roméo Lavia,BEL,MF,19,2004,0.4,27,27,0,0,0,0,0,0,0,0,0,0,22,0,2
ENG-Premier League,2324,Chelsea,Thiago Silva,BRA,DF,38,1984,28.1,2287,2198,88,60,0,9,4,3,0,0,0,0,2166,1,6
ENG-Premier League,2324,Chelsea,Trevoh Chalobah,ENG,DF,24,1999,10.6,783,746,36,13,1,0,0,22,0,0,0,0,700,1,1
ENG-Premier League,2324,Chelsea,Đorđe Petrović,SRB,GK,23,1999,22.1,806,629,175,26,0,0,0,0,0,0,0,0,635,2,0
ENG-Premier League,2324,Crystal Palace,Adam Wharton,ENG,MF,19,2004,14.4,596,553,34,13,3,2,25,0,15,7,4,0,464,9,11
ENG-Premier League,2324,Crystal Palace,Cheick Doucouré,MLI,MF,23,2000,10.2,422,418,4,4,5,0,1,0,0,0,0,0,367,0,7
ENG-Premier League,2324,Crystal Palace,Chris Richards,USA,"DF,MF",23,2000,23.3,942,902,37,18,1,5,1,14,0,0,0,0,778,3,15
ENG-Premier League,2324,Crystal Palace,Daniel Muñoz,COL,"DF,MF",27,1996,16.0,720,573,145,4,0,0,11,141,0,0,0,0,561,2,17
ENG-Premier League,2324,Crystal Palace,David Ozoh,ENG,"MF,DF",18,2005,1.7,51,51,0,0,0,0,0,0,0,0,0,0,48,0,1
ENG-Premier League,2324,Crystal Palace,Dean Henderson,ENG,GK,26,1997,18.0,485,342,140,35,0,0,0,0,0,0,0,0,280,3,0
ENG-Premier League,2324,Crystal Palace,Eberechi Eze,ENG,"MF,FW",25,1998,22.8,909,759,144,54,7,6,107,5,71,30,23,3,700,6,20
ENG-Premier League,2324,Crystal Palace,James Tomkins,ENG,DF,34,1989,0.1,21,21,0,0,0,0,0,0,0,0,0,0,18,0,0
ENG-Premier League,2324,Crystal Palace,Jaïro Riedewald,NED,"MF,FW",26,1996,2.6,113,104,7,5,0,0,3,0,2,1,0,1,87,2,3
ENG-Premier League,2324,Crystal Palace,Jean-Philippe Mateta,FRA,FW,26,1997,25.4,433,421,12,0,1,3,20,0,0,0,0,0,309,0,14
ENG-Premier League,2324,Crystal Palace,Jefferson Lerma,COL,"MF,DF",28,1994,26.7,1250,1209,36,30,8,13,14,6,0,0,0,0,1018,5,20
ENG-Premier League,2324,Crystal Palace,Jeffrey Schlupp,GHA,"FW,MF",30,1992,15.0,334,329,4,2,0,0,10,0,0,0,0,0,247,1,10
ENG-Premier League,2324,Crystal Palace,Jesurun Rak Sakyi,ENG,"MF,FW",20,2002,1.5,50,50,0,0,0,0,3,0,0,0,0,0,37,0,2
ENG-Premier League,2324,Crystal Palace,Joachim Andersen,DEN,DF,27,1996,37.9,2209,2073,121,110,7,31,31,8,0,0,0,0,1731,15,22
ENG-Premier League,2324,Crystal Palace,Joel Ward,ENG,DF,33,1989,22.0,944,804,139,21,1,3,22,118,0,0,0,0,715,1,21
ENG-Premier League,2324,Crystal Palace,Jordan Ayew,GHA,"FW,MF",31,1991,28.3,920,876,42,8,4,5,97,10,22,6,8,0,681,2,43
ENG-Premier League,2324,Crystal Palace,Marc Guéhi,ENG,DF,23,2000,22.5,1309,1251,56,51,1,18,3,5,0,0,0,0,1138,2,5
ENG-Premier League,2324,Crystal Palace,Matheus França,BRA,"MF,FW",19,2004,2.6,79,69,10,1,0,1,14,0,9,5,2,0,51,0,5
ENG-Premier League,2324,Crystal Palace,Michael Olise,FRA,"FW,MF",21,2001,14.2,721,605,111,44,7,4,97,10,41,25,10,2,540,5,23
ENG-Premier League,2324,Crystal Palace,Naouirou Ahamada,FRA,"MF,FW",21,2002,3.9,187,183,4,1,0,0,6,2,0,0,0,0,150,0,8
ENG-Premier League,2324,Crystal Palace,Nathaniel Clyne,ENG,DF,32,1991,14.9,600,539,58,3,0,0,9,55,0,0,0,0,495,3,16
ENG-Premier League,2324,Crystal Palace,Odsonne Édouard,FRA,"FW,MF",25,1998,17.3,350,338,9,0,4,0,10,0,1,0,0,0,249,3,20
ENG-Premier League,2324,Crystal Palace,Remi Matthews,ENG,GK,29,1994,0.0,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Sam Johnstone,ENG,GK,30,1993,20.0,599,408,186,45,0,3,0,0,0,0,0,0,343,5,0
ENG-Premier League,2324,Crystal Palace,Tyrick Mitchell,ENG,"DF,MF",23,1999,35.6,1627,1262,361,14,1,2,69,347,0,0,0,0,1177,4,70
ENG-Premier League,2324,Crystal Palace,Will Hughes,ENG,MF,28,1995,21.0,878,806,71,19,2,1,30,0,17,7,10,0,731,1,13
ENG-Premier League,2324,Everton,Abdoulaye Doucouré,MLI,"FW,MF",30,1993,29.2,893,876,16,0,1,1,26,0,0,0,0,0,683,1,29
ENG-Premier League,2324,Everton,Alex Iwobi,NGA,MF,27,1996,1.6,42,34,7,0,0,0,10,1,6,4,2,0,27,1,2
ENG-Premier League,2324,Everton,Amadou Onana,BEL,MF,21,2001,23.2,1036,1017,10,6,6,14,3,1,0,0,0,0,871,9,10
ENG-Premier League,2324,Everton,André Gomes,POR,"MF,FW",30,1993,5.6,291,257,32,11,4,3,26,4,10,7,0,0,223,2,7
ENG-Premier League,2324,Everton,Arnaut Danjuma,NED,"MF,FW",26,1997,6.6,152,147,5,0,1,1,10,2,1,1,0,0,102,0,8
ENG-Premier League,2324,Everton,Ashley Young,ENG,"DF,MF",38,1985,25.3,1052,831,212,25,2,1,100,168,19,10,7,1,723,9,29
ENG-Premier League,2324,Everton,Ben Godfrey,ENG,DF,25,1998,12.4,484,363,118,0,0,1,21,118,0,0,0,0,336,3,20
ENG-Premier League,2324,Everton,Beto,GNB,FW,25,1998,10.6,180,179,1,0,1,1,5,1,0,0,0,0,108,0,6
ENG-Premier League,2324,Everton,Dominic Calvert-Lewin,ENG,FW,26,1997,24.1,440,437,1,0,1,0,3,1,0,0,0,0,248,2,15
ENG-Premier League,2324,Everton,Dwight McNeil,ENG,"MF,FW",23,1999,32.1,1266,1098,158,46,14,5,229,26,82,59,14,2,874,10,62
ENG-Premier League,2324,Everton,Idrissa Gana Gueye,SEN,MF,33,1989,20.9,898,882,13,3,2,6,11,4,0,0,0,0,758,3,14
ENG-Premier League,2324,Everton,Jack Harrison,ENG,"MF,FW",26,1996,24.6,631,608,17,2,4,0,81,10,4,4,0,0,409,6,32
ENG-Premier League,2324,Everton,James Garner,ENG,MF,22,2001,33.4,1244,1082,155,36,4,6,112,14,59,55,3,0,958,7,28
ENG-Premier League,2324,Everton,James Tarkowski,ENG,DF,30,1992,38.0,1550,1485,52,45,1,22,6,6,0,0,0,0,1195,13,10
ENG-Premier League,2324,Everton,Jarrad Branthwaite,ENG,DF,21,2002,34.6,1385,1366,13,6,0,6,1,7,0,0,0,0,1105,6,12
ENG-Premier League,2324,Everton,Jordan Pickford,ENG,GK,29,1994,38.0,1576,1074,496,223,1,5,0,0,0,0,0,0,986,6,0
ENG-Premier League,2324,Everton,Lewis Dobbin,ENG,MF,20,2003,2.6,65,60,3,1,0,0,7,2,0,0,0,0,44,2,3
ENG-Premier League,2324,Everton,Lewis Warrington,ENG,FW,20,2002,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
ENG-Premier League,2324,Everton,Michael Keane,ENG,DF,30,1993,4.9,221,217,3,3,0,1,0,0,0,0,0,0,171,1,0
ENG-Premier League,2324,Everton,Nathan Patterson,SCO,DF,21,2001,11.2,550,439,110,1,1,1,32,109,0,0,0,0,393,1,13
ENG-Premier League,2324,Everton,Neal Maupay,FRA,FW,26,1996,1.2,26,23,3,0,0,1,0,0,0,0,0,0,22,0,1
ENG-Premier League,2324,Everton,Séamus Coleman,IRL,DF,34,1988,7.4,306,232,70,1,0,1,13,69,0,0,0,0,207,4,11
ENG-Premier League,2324,Everton,Thomas Cannon,IRL,FW,20,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Everton,Tyler Onyango,ENG,MF,20,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Everton,Vitaliy Mykolenko,UKR,DF,24,1999,27.4,1166,938,225,0,2,2,56,225,0,0,0,0,869,3,35
ENG-Premier League,2324,Everton,Youssef Chermiti,POR,FW,19,2004,2.3,58,57,1,0,0,0,0,0,0,0,0,0,35,0,0
ENG-Premier League,2324,Fulham,Adama Traoré,ESP,"FW,MF",27,1996,4.2,139,137,2,0,0,1,26,2,0,0,0,0,97,0,7
ENG-Premier League,2324,Fulham,Aleksandar Mitrović,SRB,FW,28,1994,0.4,8,8,0,0,0,0,0,0,0,0,0,0,4,0,0
ENG-Premier League,2324,Fulham,Alex Iwobi,NGA,"FW,MF",27,1996,24.4,1051,1029,21,1,6,7,60,8,1,0,0,0,821,1,32
ENG-Premier League,2324,Fulham,Andreas Pereira,BRA,MF,27,1996,29.0,1295,1035,255,67,14,11,220,7,148,49,74,1,912,5,44
ENG-Premier League,2324,Fulham,Antonee Robinson,USA,DF,25,1997,36.3,2054,1736,314,25,1,11,132,289,0,0,0,0,1514,4,68
ENG-Premier League,2324,Fulham,Armando Broja,ALB,FW,21,2001,1.0,27,26,1,0,0,0,1,0,0,0,0,0,19,0,1
ENG-Premier League,2324,Fulham,Bernd Leno,GER,GK,31,1992,38.0,1577,1281,292,91,0,2,0,0,0,0,0,0,1250,4,0
ENG-Premier League,2324,Fulham,Bobby De Cordova-Reid,JAM,FW,30,1993,15.8,487,474,12,2,2,1,35,9,1,0,0,0,364,1,16
ENG-Premier League,2324,Fulham,Calvin Bassey,NGA,DF,23,1999,25.6,1674,1582,91,34,0,12,3,3,0,0,0,0,1440,1,20
ENG-Premier League,2324,Fulham,Carlos Vinícius,BRA,FW,28,1995,3.5,62,61,1,0,0,0,1,0,0,0,0,0,46,0,1
ENG-Premier League,2324,Fulham,Fodé Ballo-Touré,SEN,"DF,MF",26,1997,0.8,78,57,20,2,0,0,4,18,0,0,0,0,56,1,3
ENG-Premier League,2324,Fulham,Harrison Reed,ENG,MF,28,1995,14.7,748,702,46,23,2,0,19,7,5,2,3,0,627,0,24
ENG-Premier League,2324,Fulham,Harry Wilson,WAL,FW,26,1997,18.0,632,591,38,13,3,9,42,5,19,7,6,0,478,3,21
ENG-Premier League,2324,Fulham,Issa Diop,FRA,DF,26,1997,15.8,1080,1041,37,22,1,5,0,2,0,0,0,0,950,2,13
ENG-Premier League,2324,Fulham,João Palhinha,POR,MF,28,1995,30.0,1333,1272,55,52,6,20,5,1,0,0,0,0,1098,6,29
ENG-Premier League,2324,Fulham,Kenny Tete,NED,DF,27,1995,9.6,523,438,84,7,1,0,23,77,0,0,0,0,418,1,13
ENG-Premier League,2324,Fulham,Luke Harris,WAL,MF,18,2005,0.8,14,11,3,0,0,0,0,0,0,0,0,0,11,0,0
ENG-Premier League,2324,Fulham,Raúl Jiménez,MEX,FW,32,1991,15.5,382,370,11,4,4,3,7,1,0,0,0,0,262,1,13
ENG-Premier League,2324,Fulham,Rodrigo Muniz,BRA,FW,22,2001,17.7,222,207,14,0,1,1,2,0,0,0,0,0,136,1,4
ENG-Premier League,2324,Fulham,Saša Lukić,SRB,MF,26,1996,12.5,496,472,21,15,4,1,4,0,0,0,0,0,428,3,7
ENG-Premier League,2324,Fulham,Tim Ream,USA,DF,35,1987,16.7,1060,1010,49,19,0,8,1,0,0,0,0,0,944,1,9
ENG-Premier League,2324,Fulham,Timothy Castagne,BEL,DF,27,1995,29.3,1662,1373,286,27,2,2,50,259,0,0,0,0,1350,3,55
ENG-Premier League,2324,Fulham,Tom Cairney,SCO,MF,32,1991,16.5,1272,1239,27,15,2,1,25,0,2,1,1,0,1126,6,13
ENG-Premier League,2324,Fulham,Tosin Adarabioyo,ENG,DF,25,1997,18.0,1216,1181,33,28,1,9,1,2,0,0,0,0,1028,2,8
ENG-Premier League,2324,Fulham,Willian,BRA,FW,34,1988,22.8,1145,1081,59,17,8,14,75,6,36,11,14,0,932,5,20
ENG-Premier League,2324,Liverpool,Alexis Mac Allister,ARG,MF,24,1998,28.9,1967,1900,61,38,14,11,32,2,11,2,9,0,1704,6,32
ENG-Premier League,2324,Liverpool,Alisson,BRA,GK,30,1992,28.0,1142,983,154,38,0,5,0,0,0,0,0,0,985,5,3
ENG-Premier League,2324,Liverpool,Andrew Robertson,SCO,DF,29,1994,18.8,1547,1297,240,41,0,7,184,109,90,34,53,0,1248,10,29
ENG-Premier League,2324,Liverpool,Ben Gannon-Doak,SCO,FW,17,2005,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
ENG-Premier League,2324,Liverpool,Bobby Clark,ENG,MF,18,2005,1.0,49,49,0,0,0,0,0,0,0,0,0,0,38,0,2
ENG-Premier League,2324,Liverpool,Caoimhín Kelleher,IRL,GK,24,1998,10.0,442,401,38,10,0,0,0,0,0,0,0,0,359,3,0
ENG-Premier League,2324,Liverpool,Cody Gakpo,NED,"FW,MF",24,1999,18.3,564,547,15,5,1,2,21,6,0,0,0,0,436,2,15
ENG-Premier League,2324,Liverpool,Conor Bradley,NIR,DF,20,2003,8.4,530,445,85,10,3,1,18,75,0,0,0,0,419,0,16
ENG-Premier League,2324,Liverpool,Curtis Jones,ENG,MF,22,2001,13.0,776,749,25,4,4,2,4,20,1,0,0,0,707,2,5
ENG-Premier League,2324,Liverpool,Darwin Núñez,URU,FW,24,1999,22.7,493,472,17,2,6,1,19,5,0,0,0,0,341,4,18
ENG-Premier League,2324,Liverpool,Diogo Jota,POR,FW,26,1996,12.7,394,393,1,0,5,1,9,1,0,0,0,0,287,0,22
ENG-Premier League,2324,Liverpool,Dominik Szoboszlai,HUN,MF,22,2000,23.4,1550,1376,167,34,3,16,113,31,66,24,28,2,1280,7,24
ENG-Premier League,2324,Liverpool,Harvey Elliott,ENG,"MF,FW",20,2003,15.0,986,932,44,4,3,8,62,10,19,9,7,0,825,10,17
ENG-Premier League,2324,Liverpool,Ibrahima Konaté,FRA,DF,24,1999,17.5,1463,1426,35,24,5,6,1,11,0,0,0,0,1286,2,8
ENG-Premier League,2324,Liverpool,James McConnell,ENG,MF,18,2004,0.0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,1
ENG-Premier League,2324,Liverpool,Jarell Quansah,ENG,DF,20,2003,13.2,1172,1147,22,16,1,5,0,4,0,0,0,0,1038,3,2
ENG-Premier League,2324,Liverpool,Jayden Danns,ENG,FW,17,2006,0.1,7,7,0,0,1,0,0,0,0,0,0,0,5,0,0
ENG-Premier League,2324,Liverpool,Joe Gomez,ENG,DF,26,1997,19.8,1345,1172,169,14,3,9,39,153,0,0,0,0,1114,4,29
ENG-Premier League,2324,Liverpool,Joël Matip,CMR,DF,31,1991,8.7,564,559,4,4,0,0,0,0,0,0,0,0,494,1,4
ENG-Premier League,2324,Liverpool,Kaide Gordon,ENG,FW,18,2004,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ENG-Premier League,2324,Liverpool,Kostas Tsimikas,GRE,DF,27,1996,7.5,500,389,110,14,0,1,72,67,29,7,22,0,383,1,10
ENG-Premier League,2324,Liverpool,Luis Díaz,COL,FW,26,1997,29.2,1075,1040,29,4,4,11,26,24,0,0,0,0,898,6,29
ENG-Premier League,2324,Liverpool,Mohamed Salah,EGY,FW,31,1992,28.2,1010,968,28,4,18,3,41,20,0,0,0,0,737,14,42
ENG-Premier League,2324,Liverpool,Owen Beck,WAL,DF,20,2002,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
ENG-Premier League,2324,Liverpool,Ryan Gravenberch,NED,MF,21,2002,12.5,504,492,9,3,4,2,4,4,0,0,0,0,415,3,14
ENG-Premier League,2324,Liverpool,Stefan Bajcetic,ESP,MF,18,2004,0.3,10,10,0,0,0,0,0,0,0,0,0,0,7,0,1
ENG-Premier League,2324,Liverpool,Thiago Alcántara,ESP,MF,32,1991,0.1,10,9,1,1,0,0,0,0,0,0,0,0,7,0,0
ENG-Premier League,2324,Liverpool,Trent Alexander-Arnold,ENG,DF,24,1998,23.9,2062,1705,346,77,22,32,168,198,71,10,52,0,1553,11,23
ENG-Premier League,2324,Liverpool,Virgil van Dijk,NED,DF,32,1991,35.3,2887,2712,173,80,0,21,0,13,0,0,0,0,2640,2,6
ENG-Premier League,2324,Liverpool,Wataru Endo,JPN,MF,30,1993,19.1,1315,1295,16,13,5,1,4,2,0,0,0,0,1157,4,19
ENG-Premier League,2324,Luton Town,Albert Sambi Lokonga,BEL,MF,23,1999,14.5,766,694,67,28,5,11,13,8,2,1,1,0,669,5,3
ENG-Premier League,2324,Luton Town,Alfie Doughty,ENG,DF,23,1999,32.5,1686,1190,489,89,0,9,340,249,151,66,80,5,1121,7,60
ENG-Premier League,2324,Luton Town,Amari'i Bell,JAM,DF,29,1994,19.1,835,783,48,15,2,3,13,29,0,0,0,0,645,4,23
ENG-Premier League,2324,Luton Town,Andros Townsend,ENG,"MF,FW",32,1991,13.4,432,402,28,4,1,10,74,7,8,7,0,0,304,2,22
ENG-Premier League,2324,Luton Town,Carlton Morris,ENG,"FW,MF",27,1995,31.8,751,719,19,1,0,2,15,3,1,0,1,0,484,13,33
ENG-Premier League,2324,Luton Town,Cauley Woodrow,ENG,"FW,MF",28,1994,4.7,152,145,6,0,0,0,10,2,3,0,2,0,110,1,7
ENG-Premier League,2324,Luton Town,Chiedozie Ogbene,IRL,"MF,DF",26,1997,22.2,790,697,91,5,0,2,79,80,0,0,0,0,589,2,47
ENG-Premier League,2324,Luton Town,Daiki Hashioka,JPN,DF,24,1999,6.6,282,264,18,1,0,2,9,17,0,0,0,0,227,0,7
ENG-Premier League,2324,Luton Town,Elijah Adebayo,ENG,FW,25,1998,15.8,204,202,1,0,1,0,5,1,0,0,0,0,144,1,5
ENG-Premier League,2324,Luton Town,Fred Onyedinma,ENG,"DF,MF",26,1996,4.5,135,97,38,1,0,0,13,37,0,0,0,0,91,0,7
ENG-Premier League,2324,Luton Town,Gabriel Osho,NGA,DF,24,1998,20.5,706,697,8,8,0,1,3,0,0,0,0,0,580,1,3
ENG-Premier League,2324,Luton Town,Issa Kaboré,BFA,DF,22,2001,19.2,759,601,157,6,1,0,66,151,0,0,0,0,533,1,44
ENG-Premier League,2324,Luton Town,Jacob Brown,SCO,"MF,FW",25,1998,11.3,247,238,7,0,0,0,10,6,0,0,0,0,136,2,18
ENG-Premier League,2324,Luton Town,James Shea,ENG,GK,32,1991,0.2,9,5,4,1,0,0,0,0,0,0,0,0,6,0,0
ENG-Premier League,2324,Luton Town,Jordan Clark,ENG,MF,29,1993,14.5,513,475,36,13,1,6,23,5,0,0,0,0,369,2,18
ENG-Premier League,2324,Luton Town,Joseph Johnson,ENG,DF,17,2006,0.9,36,33,2,1,0,0,0,1,0,0,0,0,30,1,0
ENG-Premier League,2324,Luton Town,Luke Berry,ENG,"MF,DF",31,1992,3.6,99,83,16,4,0,0,8,2,6,5,1,0,64,0,3
ENG-Premier League,2324,Luton Town,Mads Juel Andersen,DEN,DF,25,1997,4.4,117,115,2,0,0,1,0,2,0,0,0,0,87,0,1
ENG-Premier League,2324,Luton Town,Marvelous Nakamba,ZIM,MF,29,1994,12.6,423,404,18,14,0,5,4,3,0,0,0,0,356,1,10
ENG-Premier League,2324,Luton Town,Pelly Ruddock Mpanzu,COD,MF,30,1993,12.2,364,338,24,7,0,7,11,8,2,0,0,0,268,2,13
ENG-Premier League,2324,Luton Town,Reece Burke,ENG,DF,26,1996,18.4,719,689,29,9,0,2,13,20,0,0,0,0,547,1,15
ENG-Premier League,2324,Luton Town,Ross Barkley,ENG,MF,29,1993,29.1,1474,1329,139,94,4,24,45,14,16,8,8,0,1218,6,31
ENG-Premier League,2324,Luton Town,Ryan Giles,ENG,"DF,MF",23,2000,5.6,218,157,61,6,0,0,49,41,14,6,8,0,140,0,8
ENG-Premier League,2324,Luton Town,Tahith Chong,CUW,"MF,FW",23,1999,22.0,550,515,31,4,5,6,35,11,0,0,0,0,428,4,21
ENG-Premier League,2324,Luton Town,Teden Mengi,ENG,DF,21,2002,27.4,938,912,22,18,1,13,2,4,0,0,0,0,728,4,7
ENG-Premier League,2324,Luton Town,Thomas Kaminski,BEL,GK,30,1992,37.8,1468,969,493,152,0,2,0,0,0,0,0,0,869,6,0
ENG-Premier League,2324,Luton Town,Tom Lockyer,WAL,DF,28,1994,13.0,422,401,20,17,1,5,1,2,0,0,0,0,301,1,7
ENG-Premier League,2324,Luton Town,Zack Nelson,ENG,"MF,DF",18,2004,0.1,4,2,2,0,0,0,0,0,0,0,0,0,4,0,0
ENG-Premier League,2324,Manchester City,Aymeric Laporte,ESP,DF,29,1994,0.1,11,11,0,0,0,0,0,0,0,0,0,0,11,0,0
ENG-Premier League,2324,Manchester City,Bernardo Silva,POR,"MF,FW",28,1994,28.6,1936,1831,99,40,2,7,83,23,21,10,0,0,1671,6,37
ENG-Premier League,2324,Manchester City,Cole Palmer,ENG,MF,21,2002,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
ENG-Premier League,2324,Manchester City,Ederson,BRA,GK,29,1993,30.9,1234,1077,157,43,0,9,0,0,0,0,0,0,1077,0,1
ENG-Premier League,2324,Manchester City,Erling Haaland,NOR,FW,23,2000,28.4,388,375,12,1,2,0,5,1,0,0,0,0,295,1,17
ENG-Premier League,2324,Manchester City,Jack Grealish,ENG,"FW,MF",27,1995,11.2,580,560,19,3,3,2,16,11,5,2,0,0,499,1,21
ENG-Premier League,2324,Manchester City,James Mcatee,ENG,MF,20,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Manchester City,Jeremy Doku,BEL,"FW,MF",21,2002,17.7,852,844,8,0,2,2,61,5,3,0,0,0,693,0,34
ENG-Premier League,2324,Manchester City,John Stones,ENG,"DF,MF",29,1994,11.8,839,824,15,9,0,7,5,3,0,0,0,0,781,0,6
ENG-Premier League,2324,Manchester City,Joško Gvardiol,CRO,DF,21,2002,25.9,1919,1737,178,28,3,10,33,150,0,0,0,0,1671,4,38
ENG-Premier League,2324,Manchester City,Julián Álvarez,ARG,"MF,FW",23,2000,29.4,1258,1069,185,25,9,1,137,7,129,44,36,2,1011,4,27
ENG-Premier League,2324,Manchester City,Kalvin Phillips,ENG,MF,27,1995,1.0,70,67,3,3,0,0,2,0,0,0,0,0,62,0,1
ENG-Premier League,2324,Manchester City,Kevin De Bruyne,BEL,MF,32,1991,13.6,971,840,124,23,11,6,136,24,69,29,16,5,732,7,27
ENG-Premier League,2324,Manchester City,Kyle Walker,ENG,DF,33,1990,30.7,2404,2162,241,33,6,20,59,208,0,0,0,0,2128,1,31
ENG-Premier League,2324,Manchester City,Manuel Akanji,SUI,"DF,MF",28,1995,27.9,2334,2261,71,34,4,15,9,27,0,0,0,0,2180,2,10
ENG-Premier League,2324,Manchester City,Mateo Kovačić,CRO,MF,29,1994,17.2,1527,1491,34,24,4,1,0,2,1,0,0,0,1435,2,10
ENG-Premier League,2324,Manchester City,Matheus Nunes,POR,MF,24,1998,7.3,443,429,14,9,1,1,19,2,3,2,0,0,373,0,12
ENG-Premier League,2324,Manchester City,Nathan Aké,NED,DF,28,1995,22.7,1864,1744,118,32,1,3,11,81,0,0,0,0,1716,2,14
ENG-Premier League,2324,Manchester City,Oscar Bobb,NOR,"FW,MF",20,2003,3.4,177,169,8,3,3,0,5,4,1,0,0,0,155,0,5
