,,,players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
league,season,team,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,25,38,20241,18608,1553,432,80,74,766,598,251,211,3,2,17066,80,278,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,28,38,17797,16044,1698,583,95,58,604,497,230,148,24,1,14701,55,346,/en/squads/8602292d/2024-2025/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,29,38,16900,15136,1694,430,59,78,832,686,228,166,18,4,12977,70,314,/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
ENG-Premier League,2425,Brentford,28,38,17100,15453,1584,386,69,71,674,602,174,139,2,0,13358,63,288,/en/squads/cd051869/2024-2025/Brentford-Stats
ENG-Premier League,2425,Brighton,32,38,19188,17527,1615,482,77,76,704,605,188,107,48,7,15820,46,310,/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,29,38,21320,19613,1642,516,79,95,663,587,234,121,37,8,18033,65,304,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,29,38,15754,14066,1614,440,71,59,605,621,171,115,18,0,11875,74,302,/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,26,38,14953,13245,1627,424,30,83,682,678,154,101,24,11,11405,81,295,/en/squads/d3fd31cc/2024-2025/Everton-Stats
ENG-Premier League,2425,Fulham,26,38,19753,18077,1633,437,43,119,894,636,203,88,87,1,16199,43,337,/en/squads/fd962109/2024-2025/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,32,38,14775,13146,1577,434,44,60,505,572,145,111,18,1,11524,52,300,/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,32,38,17486,15728,1695,449,52,47,621,664,139,86,29,4,13945,63,319,/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,24,38,21758,19998,1700,448,69,128,729,682,252,145,72,1,18303,60,330,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
ENG-Premier League,2425,Manchester City,30,38,24443,22822,1576,449,86,90,659,603,253,127,37,4,21531,45,341,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,31,38,20415,18750,1596,414,94,107,630,646,197,96,45,11,16837,69,355,/en/squads/19538871/2024-2025/Manchester-United-Stats
ENG-Premier League,2425,Newcastle Utd,24,38,18898,17088,1739,482,78,94,705,704,217,118,27,17,15416,71,351,/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats
ENG-Premier League,2425,Nott'ham Forest,23,38,14366,12658,1617,436,59,62,621,615,159,71,76,0,10822,91,282,/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,36,38,18561,16979,1533,468,43,60,548,493,152,102,33,0,15530,49,272,/en/squads/33c895d4/2024-2025/Southampton-Stats
ENG-Premier League,2425,Tottenham,31,38,19960,18013,1884,561,54,70,752,705,243,108,66,0,16513,63,437,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham,27,38,18363,16678,1612,437,53,133,613,612,152,82,57,1,14820,73,343,/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,32,38,17884,16133,1689,495,55,122,568,696,147,98,31,3,14472,62,328,/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats
