,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Aston Villa,Jáder Durán,COL,"FW,MF",19,2003,5.3,6,5,3,1,2,1,6,16.7,5,6,0,6,1,7,10,0
ENG-Premier League,2324,Aston Villa,Kaine Kesler-Hayden,ENG,"MF,DF",20,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Leander Dendoncker,BEL,MF,28,1995,1.3,6,4,3,2,1,4,5,80.0,1,5,2,3,2,8,3,1
ENG-Premier League,2324,Aston Villa,Leon Bailey,JAM,"MF,FW",25,1997,23.0,13,7,7,4,2,5,20,25.0,15,18,1,17,9,22,6,0
ENG-Premier League,2324,Aston Villa,Lucas Digne,FRA,DF,30,1993,26.8,47,19,35,9,3,25,44,56.8,19,20,2,18,26,73,67,0
ENG-Premier League,2324,Aston Villa,Matty Cash,POL,DF,25,1997,23.8,54,31,24,24,6,29,59,49.2,30,35,14,21,18,72,59,0
ENG-Premier League,2324,Aston Villa,Morgan Rogers,ENG,"MF,FW",21,2002,7.1,8,1,3,2,3,2,11,18.2,9,11,0,11,3,11,11,0
ENG-Premier League,2324,Aston Villa,Moussa Diaby,FRA,"FW,MF",24,1999,24.2,12,5,5,4,3,4,22,18.2,18,8,1,7,9,21,6,0
ENG-Premier League,2324,Aston Villa,Nicolò Zaniolo,ITA,"FW,MF",24,1999,9.3,19,9,10,7,2,9,17,52.9,8,13,0,13,1,20,11,0
ENG-Premier League,2324,Aston Villa,Ollie Watkins,ENG,FW,27,1995,35.7,12,7,0,5,7,5,11,45.5,6,26,4,22,4,16,20,0
ENG-Premier League,2324,Aston Villa,Omari Kellyman,ENG,FW,17,2005,0.4,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0
ENG-Premier League,2324,Aston Villa,Pau Torres,ESP,DF,26,1997,27.4,29,18,17,11,1,14,30,46.7,16,28,12,16,14,43,75,0
ENG-Premier League,2324,Aston Villa,Philippe Coutinho,BRA,"MF,FW",31,1992,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Robin Olsen,SWE,GK,33,1990,4.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2324,Aston Villa,Tim Iroegbunam,ENG,MF,20,2003,1.8,7,5,4,2,1,4,9,44.4,5,3,0,3,2,9,3,0
ENG-Premier League,2324,Aston Villa,Tyrone Mings,ENG,DF,30,1993,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
ENG-Premier League,2324,Aston Villa,Youri Tielemans,BEL,"MF,FW",26,1997,18.0,41,20,17,18,6,16,40,40.0,24,23,3,20,15,56,9,0
ENG-Premier League,2324,Aston Villa,Álex Moreno,ESP,DF,30,1993,11.5,18,12,18,0,0,12,19,63.2,7,11,2,9,13,31,37,0
ENG-Premier League,2324,Bournemouth,Adam Smith,ENG,DF,32,1991,23.9,37,23,18,11,8,19,39,48.7,20,28,11,17,21,58,62,0
ENG-Premier League,2324,Bournemouth,Alex Scott,ENG,MF,19,2003,11.3,24,15,8,10,6,12,28,42.9,16,14,4,10,12,36,18,2
ENG-Premier League,2324,Bournemouth,Antoine Semenyo,GHA,FW,23,2000,23.4,24,17,7,9,8,9,27,33.3,18,39,2,37,6,30,21,0
ENG-Premier League,2324,Bournemouth,Chris Mepham,WAL,DF,25,1997,6.9,12,11,9,3,0,9,14,64.3,5,13,6,7,7,19,30,1
