,,,players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
league,season,team,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Everton,1,38,38,3420,38,44,1.16,163,117,73.0,11,15,12,12,31.6,2,0,2,0,100.0,/en/squads/d3fd31cc/2024-2025/Everton-Stats
ENG-Premier League,2425,Fulham,1,38,38,3420,38,54,1.42,159,106,67.9,15,9,14,5,13.2,4,3,1,0,25.0,/en/squads/fd962109/2024-2025/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,3,38,38,3420,38,82,2.16,210,130,63.8,4,10,24,2,5.3,6,6,0,0,0.0,/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,3,38,38,3420,38,80,2.11,209,131,63.2,6,7,25,3,7.9,4,3,1,0,25.0,/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,3,38,38,3420,38,41,1.08,138,98,71.0,25,9,4,14,36.8,2,1,1,0,50.0,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
ENG-Premier League,2425,Manchester City,2,38,38,3420,38,44,1.16,128,86,68.8,21,8,9,13,34.2,4,4,0,0,0.0,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,2,38,38,3420,38,54,1.42,149,96,65.8,11,9,18,10,26.3,4,3,1,0,25.0,/en/squads/19538871/2024-2025/Manchester-United-Stats
ENG-Premier League,2425,Newcastle Utd,2,38,38,3420,38,47,1.24,161,115,71.4,20,6,12,13,34.2,2,1,1,0,50.0,/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats
ENG-Premier League,2425,Nott'ham Forest,1,38,38,3420,38,46,1.21,165,119,73.9,19,8,11,13,34.2,3,3,0,0,0.0,/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,3,38,38,3420,38,86,2.26,245,157,67.8,2,6,30,3,7.9,9,7,2,0,22.2,/en/squads/33c895d4/2024-2025/Southampton-Stats
ENG-Premier League,2425,Tottenham,4,38,38,3420,38,65,1.71,180,119,65.6,11,5,22,6,15.8,3,3,0,0,0.0,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham,2,38,38,3420,38,62,1.63,186,127,68.3,11,10,17,7,18.4,3,3,0,0,0.0,/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,4,38,38,3420,38,69,1.82,168,100,63.1,12,6,20,8,21.1,9,7,2,0,22.2,/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats
