position,team,team_id,playedGames,won,draw,lost,points,goalsFor,goalsAgainst,goalDifference,form,season
1,Manchester City FC,65,38,28,7,3,91,96,34,62,"W,W,W,W,W",2023
2,Arsenal FC,57,38,28,5,5,89,91,29,62,"W,W,W,W,W",2023
3,Liverpool FC,64,38,24,10,4,82,86,41,45,"W,D,W,D,L",2023
4,Aston Villa FC,58,38,20,8,10,68,76,61,15,"L,D,L,D,W",2023
5,Tottenham Hotspur FC,73,38,20,6,12,66,74,61,13,"W,L,W,L,L",2023
6,Chelsea FC,61,38,18,9,11,63,77,63,14,"W,W,W,W,W",2023
7,Newcastle United FC,67,38,18,6,14,60,85,62,23,"W,L,D,W,W",2023
8,Manchester United FC,66,38,18,6,14,60,57,58,-1,"W,W,L,L,D",2023
9,West Ham United FC,563,38,14,10,14,52,60,74,-14,"L,W,L,D,L",2023
10,Crystal Palace FC,354,38,13,10,15,49,57,58,-1,"W,W,W,D,W",2023
11,Brighton & Hove Albion FC,397,38,12,12,14,48,55,62,-7,"L,L,D,W,L",2023
12,Everton FC,62,38,13,9,16,48,40,51,-11,"L,W,D,W,W",2023
13,AFC Bournemouth,1044,38,13,9,16,48,54,67,-13,"L,L,L,W,W",2023
14,Fulham FC,63,38,13,8,17,47,55,61,-6,"W,L,D,D,L",2023
15,Wolverhampton Wanderers FC,76,38,13,7,18,46,50,65,-15,"L,L,L,W,L",2023
16,Brentford FC,402,38,10,9,19,39,56,65,-9,"L,W,D,L,W",2023
17,Nottingham Forest FC,351,38,9,9,20,36,49,67,-18,"W,L,W,L,L",2023
18,Luton Town FC,389,38,6,8,24,26,52,85,-33,"L,L,D,L,L",2023
19,Burnley FC,328,38,5,9,24,24,41,78,-37,"L,L,L,D,W",2023
20,Sheffield United FC,356,38,3,7,28,16,35,104,-69,"L,L,L,L,L",2023
