join_key,league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url,home_team_shortened,referee,Match Week,status
2023-08-11_Burnley,ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,1,2023,22275,2023-08-11,92,88,Burnley,Manchester City,MCI,BUR,0,3,0.311032,2.40074,True,True,https://understat.com/match/22275,Burnley,Craig Pawson,1,FINISHED
2023-08-12_Arsenal,ENG-Premier League,2324,2023-08-12 Arsenal-Nottingham Forest,1,2023,22276,2023-08-12,83,249,Arsenal,Nottingham Forest,NOT,ARS,2,1,0.84262,0.966305,True,True,https://understat.com/match/22276,Arsenal,Michael Oliver,1,FINISHED
2023-08-12_Bournemouth,ENG-Premier League,2324,2023-08-12 Bournemouth-West Ham,1,2023,22277,2023-08-12,73,81,Bournemouth,West Ham,WHU,BOU,1,1,1.51025,1.4834,True,True,https://understat.com/match/22277,Bournemouth,Peter Bankes,1,FINISHED
2023-08-12_Brighton,ENG-Premier League,2324,2023-08-12 Brighton-Luton,1,2023,22278,2023-08-12,220,256,Brighton,Luton,LUT,BRI,4,1,4.36748,1.88594,True,True,https://understat.com/match/22278,Brighton,David Coote,1,FINISHED
2023-08-12_Everton,ENG-Premier League,2324,2023-08-12 Everton-Fulham,1,2023,22279,2023-08-12,72,228,Everton,Fulham,FLH,EVE,0,1,2.59001,1.58144,True,True,https://understat.com/match/22279,Everton,Stuart Attwell,1,FINISHED
2023-08-12_Newcastle,ENG-Premier League,2324,2023-08-12 Newcastle United-Aston Villa,1,2023,22281,2023-08-12,86,71,Newcastle United,Aston Villa,AVL,NEW,5,1,4.32208,1.486,True,True,https://understat.com/match/22281,Newcastle,Andy Madley,1,FINISHED
2023-08-12_Sheffield,ENG-Premier League,2324,2023-08-12 Sheffield United-Crystal Palace,1,2023,22280,2023-08-12,238,78,Sheffield United,Crystal Palace,CRY,SHE,0,1,0.422704,2.27616,True,True,https://understat.com/match/22280,Sheffield,John Brooks,1,FINISHED
2023-08-13_Brentford,ENG-Premier League,2324,2023-08-13 Brentford-Tottenham,1,2023,22282,2023-08-13,244,82,Brentford,Tottenham,TOT,BRE,2,2,1.90756,1.45316,True,True,https://understat.com/match/22282,Brentford,Robert Jones,1,FINISHED
2023-08-13_Chelsea,ENG-Premier League,2324,2023-08-13 Chelsea-Liverpool,1,2023,22283,2023-08-13,80,87,Chelsea,Liverpool,LIV,CHE,1,1,1.93258,1.29994,True,True,https://understat.com/match/22283,Chelsea,Anthony Taylor,1,FINISHED
2023-08-14_Manchester,ENG-Premier League,2324,2023-08-14 Manchester United-Wolverhampton Wanderers,1,2023,22284,2023-08-14,89,229,Manchester United,Wolverhampton Wanderers,WOL,MUN,1,0,1.97087,1.72228,True,True,https://understat.com/match/22284,Manchester,Simon Hooper,1,FINISHED
2023-08-18_Nottingham,ENG-Premier League,2324,2023-08-18 Nottingham Forest-Sheffield United,1,2023,22285,2023-08-18,249,238,Nottingham Forest,Sheffield United,SHE,NOT,2,1,1.37181,0.551038,True,True,https://understat.com/match/22285,Nottingham,Peter Bankes,2,FINISHED
2023-08-19_Fulham,ENG-Premier League,2324,2023-08-19 Fulham-Brentford,1,2023,22287,2023-08-19,228,244,Fulham,Brentford,BRE,FLH,0,3,0.399899,3.46888,True,True,https://understat.com/match/22287,Fulham,Darren Bond,2,FINISHED
2023-08-19_Liverpool,ENG-Premier League,2324,2023-08-19 Liverpool-Bournemouth,1,2023,22288,2023-08-19,87,73,Liverpool,Bournemouth,BOU,LIV,3,1,3.25448,1.3867,True,True,https://understat.com/match/22288,Liverpool,Thomas Bramall,2,FINISHED
2023-08-19_Manchester,ENG-Premier League,2324,2023-08-19 Manchester City-Newcastle United,1,2023,22291,2023-08-19,88,86,Manchester City,Newcastle United,NEW,MCI,1,0,1.22528,0.257154,True,True,https://understat.com/match/22291,Manchester,Robert Jones,2,FINISHED
2023-08-19_Tottenham,ENG-Premier League,2324,2023-08-19 Tottenham-Manchester United,1,2023,22290,2023-08-19,82,89,Tottenham,Manchester United,MUN,TOT,2,0,2.53904,2.44604,True,True,https://understat.com/match/22290,Tottenham,Michael Oliver,2,FINISHED
2023-08-19_Wolverhampton,ENG-Premier League,2324,2023-08-19 Wolverhampton Wanderers-Brighton,1,2023,22286,2023-08-19,229,220,Wolverhampton Wanderers,Brighton,BRI,WOL,1,4,2.68821,3.15562,True,True,https://understat.com/match/22286,Wolverhampton,Andy Madley,2,FINISHED
2023-08-20_Aston,ENG-Premier League,2324,2023-08-20 Aston Villa-Everton,1,2023,22292,2023-08-20,71,72,Aston Villa,Everton,EVE,AVL,4,0,3.24336,0.721465,True,True,https://understat.com/match/22292,Aston,Anthony Taylor,2,FINISHED
2023-08-20_West,ENG-Premier League,2324,2023-08-20 West Ham-Chelsea,1,2023,22293,2023-08-20,81,80,West Ham,Chelsea,CHE,WHU,3,1,1.71234,1.60916,True,True,https://understat.com/match/22293,West,John Brooks,2,FINISHED
2023-08-21_Crystal,ENG-Premier League,2324,2023-08-21 Crystal Palace-Arsenal,1,2023,22294,2023-08-21,78,83,Crystal Palace,Arsenal,ARS,CRY,0,1,1.06916,2.20593,True,True,https://understat.com/match/22294,Crystal,David Coote,2,FINISHED
2023-08-25_Chelsea,ENG-Premier League,2324,2023-08-25 Chelsea-Luton,1,2023,22295,2023-08-25,80,256,Chelsea,Luton,LUT,CHE,3,0,3.41419,0.465741,True,True,https://understat.com/match/22295,Chelsea,Robert Jones,3,FINISHED
2023-08-26_Arsenal,ENG-Premier League,2324,2023-08-26 Arsenal-Fulham,1,2023,22297,2023-08-26,83,228,Arsenal,Fulham,FLH,ARS,2,2,3.23088,0.849817,True,True,https://understat.com/match/22297,Arsenal,Paul Tierney,3,FINISHED
2023-08-26_Bournemouth,ENG-Premier League,2324,2023-08-26 Bournemouth-Tottenham,1,2023,22296,2023-08-26,73,82,Bournemouth,Tottenham,TOT,BOU,0,2,0.483582,2.26115,True,True,https://understat.com/match/22296,Bournemouth,Tim Robinson,3,FINISHED
2023-08-26_Brentford,ENG-Premier League,2324,2023-08-26 Brentford-Crystal Palace,1,2023,22298,2023-08-26,244,78,Brentford,Crystal Palace,CRY,BRE,1,1,0.948011,1.06061,True,True,https://understat.com/match/22298,Brentford,Peter Bankes,3,FINISHED
2023-08-26_Brighton,ENG-Premier League,2324,2023-08-26 Brighton-West Ham,1,2023,22301,2023-08-26,220,81,Brighton,West Ham,WHU,BRI,1,3,1.3743,2.9527,True,True,https://understat.com/match/22301,Brighton,Anthony Taylor,3,FINISHED
2023-08-26_Everton,ENG-Premier League,2324,2023-08-26 Everton-Wolverhampton Wanderers,1,2023,22299,2023-08-26,72,229,Everton,Wolverhampton Wanderers,WOL,EVE,0,1,1.89792,1.40228,True,True,https://understat.com/match/22299,Everton,Craig Pawson,3,FINISHED
2023-08-26_Manchester,ENG-Premier League,2324,2023-08-26 Manchester United-Nottingham Forest,1,2023,22300,2023-08-26,89,249,Manchester United,Nottingham Forest,NOT,MUN,3,2,3.02803,0.960354,True,True,https://understat.com/match/22300,Manchester,Stuart Attwell,3,FINISHED
2023-08-27_Burnley,ENG-Premier League,2324,2023-08-27 Burnley-Aston Villa,1,2023,22302,2023-08-27,92,71,Burnley,Aston Villa,AVL,BUR,1,3,0.630605,2.83691,True,True,https://understat.com/match/22302,Burnley,Michael Salisbury,3,FINISHED
2023-08-27_Newcastle,ENG-Premier League,2324,2023-08-27 Newcastle United-Liverpool,1,2023,22304,2023-08-27,86,87,Newcastle United,Liverpool,LIV,NEW,1,2,1.62037,0.856121,True,True,https://understat.com/match/22304,Newcastle,John Brooks,3,FINISHED
2023-08-27_Sheffield,ENG-Premier League,2324,2023-08-27 Sheffield United-Manchester City,1,2023,22303,2023-08-27,238,88,Sheffield United,Manchester City,MCI,SHE,1,2,0.762232,3.84804,True,True,https://understat.com/match/22303,Sheffield,Jarred Gillett,3,FINISHED
2023-09-01_Luton,ENG-Premier League,2324,2023-09-01 Luton-West Ham,1,2023,21925,2023-09-01,256,81,Luton,West Ham,WHU,LUT,1,2,2.02244,1.22528,True,True,https://understat.com/match/21925,Luton,Paul Tierney,4,FINISHED
2023-09-02_Brentford,ENG-Premier League,2324,2023-09-02 Brentford-Bournemouth,1,2023,21928,2023-09-02,244,73,Brentford,Bournemouth,BOU,BRE,2,2,3.07185,2.11013,True,True,https://understat.com/match/21928,Brentford,Bobby Madley,4,FINISHED
2023-09-02_Brighton,ENG-Premier League,2324,2023-09-02 Brighton-Newcastle United,1,2023,21931,2023-09-02,220,86,Brighton,Newcastle United,NEW,BRI,3,1,1.32258,0.90476,True,True,https://understat.com/match/21931,Brighton,Stuart Attwell,4,FINISHED
2023-09-02_Burnley,ENG-Premier League,2324,2023-09-02 Burnley-Tottenham,1,2023,21929,2023-09-02,92,82,Burnley,Tottenham,TOT,BUR,2,5,1.66604,2.39785,True,True,https://understat.com/match/21929,Burnley,Darren England,4,FINISHED
2023-09-02_Chelsea,ENG-Premier League,2324,2023-09-02 Chelsea-Nottingham Forest,1,2023,21930,2023-09-02,80,249,Chelsea,Nottingham Forest,NOT,CHE,0,1,2.28442,1.1505,True,True,https://understat.com/match/21930,Chelsea,Tim Robinson,4,FINISHED
2023-09-02_Manchester,ENG-Premier League,2324,2023-09-02 Manchester City-Fulham,1,2023,21927,2023-09-02,88,228,Manchester City,Fulham,FLH,MCI,5,1,2.00152,1.46427,True,True,https://understat.com/match/21927,Manchester,Michael Oliver,4,FINISHED
2023-09-02_Sheffield,ENG-Premier League,2324,2023-09-02 Sheffield United-Everton,1,2023,21926,2023-09-02,238,72,Sheffield United,Everton,EVE,SHE,2,2,1.575,2.73871,True,True,https://understat.com/match/21926,Sheffield,Andy Madley,4,FINISHED
2023-09-03_Arsenal,ENG-Premier League,2324,2023-09-03 Arsenal-Manchester United,1,2023,21934,2023-09-03,83,89,Arsenal,Manchester United,MUN,ARS,3,1,1.90973,0.966109,True,True,https://understat.com/match/21934,Arsenal,Anthony Taylor,4,FINISHED
