join_key,match_id,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,season,Match,home_team_shortened,referee,matchday
2024-01-21_Sheffield,22101,2024-01-21,Sheffield United,West Ham,2,2,2.61362,2.4241,2023,Sheffield United v West Ham,Sheffield,Michael Salisbury,21
2024-01-21_Bournemouth,22102,2024-01-21,Bournemouth,Liverpool,0,4,0.834585,1.53344,2023,Bournemouth v Liverpool,Bournemouth,Bobby Madley,21
2024-01-22_Brighton,22095,2024-01-22,Brighton,Wolverhampton Wanderers,0,0,1.3701,1.14116,2023,Brighton v Wolverhampton Wanderers,Brighton,Craig Pawson,21
2024-01-30_Nottingham,22108,2024-01-30,Nottingham Forest,Arsenal,1,2,0.631618,1.39143,2023,Nottingham Forest v Arsenal,Nottingham,Simon Hooper,22
2024-01-30_Fulham,22106,2024-01-30,Fulham,Everton,0,0,2.37499,2.83317,2023,Fulham v Everton,Fulham,Thomas Bramall,22
2024-01-30_Luton,22107,2024-01-30,Luton,Brighton,4,0,3.63312,1.01366,2023,Luton v Brighton,Luton,Robert Jones,22
2024-01-30_Crystal,22112,2024-01-30,Crystal Palace,Sheffield United,3,2,1.1601,0.768467,2023,Crystal Palace v Sheffield United,Crystal,Tony Harrington,22
2024-01-30_Aston,22105,2024-01-30,Aston Villa,Newcastle United,1,3,1.44485,3.3224,2023,Aston Villa v Newcastle United,Aston,John Brooks,22
2024-01-31_Tottenham,22109,2024-01-31,Tottenham,Brentford,3,2,3.36194,1.59637,2023,Tottenham v Brentford,Tottenham,David Coote,22
2024-01-31_Manchester,22114,2024-01-31,Manchester City,Burnley,3,1,1.84756,1.49114,2023,Manchester City v Burnley,Manchester,Sam Barrott,22
2024-01-31_Liverpool,22113,2024-01-31,Liverpool,Chelsea,4,1,3.6627,0.477972,2023,Liverpool v Chelsea,Liverpool,Paul Tierney,22
2024-02-01_West,22110,2024-02-01,West Ham,Bournemouth,1,1,1.3128,1.13487,2023,West Ham v Bournemouth,West,Tim Robinson,22
2024-02-01_Wolverhampton,22111,2024-02-01,Wolverhampton Wanderers,Manchester United,3,4,2.27609,3.22698,2023,Wolverhampton Wanderers v Manchester United,Wolverhampton,Jarred Gillett,22
2024-02-03_Everton,22121,2024-02-03,Everton,Tottenham,2,2,3.25881,0.922371,2023,Everton v Tottenham,Everton,Michael Oliver,23
2024-02-03_Brighton,22118,2024-02-03,Brighton,Crystal Palace,4,1,1.92591,0.241137,2023,Brighton v Crystal Palace,Brighton,Simon Hooper,23
2024-02-03_Burnley,22119,2024-02-03,Burnley,Fulham,2,2,1.00428,1.28806,2023,Burnley v Fulham,Burnley,Darren Bond,23
2024-02-03_Newcastle,22123,2024-02-03,Newcastle United,Luton,4,4,2.37353,2.67463,2023,Newcastle United v Luton,Newcastle,Thomas Bramall,23
2024-02-03_Sheffield,22124,2024-02-03,Sheffield United,Aston Villa,0,5,1.52784,2.99015,2023,Sheffield United v Aston Villa,Sheffield,Paul Tierney,23
2024-02-04_Bournemouth,22115,2024-02-04,Bournemouth,Nottingham Forest,1,1,1.1895,0.456548,2023,Bournemouth v Nottingham Forest,Bournemouth,Rebecca Welch,23
2024-02-04_Chelsea,22120,2024-02-04,Chelsea,Wolverhampton Wanderers,2,4,2.35967,2.48996,2023,Chelsea v Wolverhampton Wanderers,Chelsea,Tim Robinson,23
2024-02-04_Manchester,22122,2024-02-04,Manchester United,West Ham,3,0,0.96721,1.1807,2023,Manchester United v West Ham,Manchester,Andy Madley,23
2024-02-04_Arsenal,22116,2024-02-04,Arsenal,Liverpool,3,1,2.8526,0.542052,2023,Arsenal v Liverpool,Arsenal,Anthony Taylor,23
2024-02-05_Brentford,22117,2024-02-05,Brentford,Manchester City,1,3,0.865741,2.10785,2023,Brentford v Manchester City,Brentford,Jarred Gillett,23
2024-02-10_Manchester,22130,2024-02-10,Manchester City,Everton,2,0,1.58971,0.192072,2023,Manchester City v Everton,Manchester,John Brooks,24
2024-02-10_Fulham,22127,2024-02-10,Fulham,Bournemouth,3,1,1.7456,2.60612,2023,Fulham v Bournemouth,Fulham,Darren England,24
2024-02-10_Liverpool,22128,2024-02-10,Liverpool,Burnley,3,1,3.14734,1.11123,2023,Liverpool v Burnley,Liverpool,Tim Robinson,24
2024-02-10_Luton,22129,2024-02-10,Luton,Sheffield United,1,3,1.76215,1.98283,2023,Luton v Sheffield United,Luton,Chris Kavanagh,24
2024-02-10_Tottenham,22132,2024-02-10,Tottenham,Brighton,2,1,2.10928,1.49285,2023,Tottenham v Brighton,Tottenham,Sam Barrott,24
2024-02-10_Wolverhampton,22134,2024-02-10,Wolverhampton Wanderers,Brentford,0,2,1.05781,1.84908,2023,Wolverhampton Wanderers v Brentford,Wolverhampton,Simon Hooper,24
2024-02-10_Nottingham,22131,2024-02-10,Nottingham Forest,Newcastle United,2,3,0.968075,0.511375,2023,Nottingham Forest v Newcastle United,Nottingham,Anthony Taylor,24
2024-02-11_West,22133,2024-02-11,West Ham,Arsenal,0,6,0.191065,3.99893,2023,West Ham v Arsenal,West,Craig Pawson,24
2024-02-11_Aston,22125,2024-02-11,Aston Villa,Manchester United,1,2,2.64675,2.44591,2023,Aston Villa v Manchester United,Aston,Robert Jones,24
2024-02-12_Crystal,22126,2024-02-12,Crystal Palace,Chelsea,1,3,0.719516,1.26948,2023,Crystal Palace v Chelsea,Crystal,Michael Oliver,24
2024-02-17_Brentford,22135,2024-02-17,Brentford,Liverpool,1,4,1.69518,3.08952,2023,Brentford v Liverpool,Brentford,Michael Oliver,25
2024-02-17_Burnley,22136,2024-02-17,Burnley,Arsenal,0,5,0.335143,2.20575,2023,Burnley v Arsenal,Burnley,Jarred Gillett,25
2024-02-17_Fulham,22138,2024-02-17,Fulham,Aston Villa,1,2,1.41796,1.57297,2023,Fulham v Aston Villa,Fulham,Lewis Smith,25
2024-02-17_Newcastle,22141,2024-02-17,Newcastle United,Bournemouth,2,2,2.38425,2.08098,2023,Newcastle United v Bournemouth,Newcastle,Michael Salisbury,25
2024-02-17_Nottingham,22142,2024-02-17,Nottingham Forest,West Ham,2,0,2.66942,0.520016,2023,Nottingham Forest v West Ham,Nottingham,Thomas Bramall,25
2024-02-17_Tottenham,22144,2024-02-17,Tottenham,Wolverhampton Wanderers,1,2,1.59768,1.77591,2023,Tottenham v Wolverhampton Wanderers,Tottenham,Anthony Taylor,25
2024-02-17_Manchester,22140,2024-02-17,Manchester City,Chelsea,1,1,2.77713,1.82903,2023,Manchester City v Chelsea,Manchester,Andy Madley,25
2024-02-18_Sheffield,22143,2024-02-18,Sheffield United,Brighton,0,5,0.586214,3.35549,2023,Sheffield United v Brighton,Sheffield,Stuart Attwell,25
2024-02-18_Luton,22139,2024-02-18,Luton,Manchester United,1,2,1.57234,3.58973,2023,Luton v Manchester United,Luton,David Coote,25
