match_id,date,home_team,home_id,away_team,away_id,home_goals,away_goals,home_xg,away_xg,season
22275,2023-08-11 19:00:00,Burnley,92,Manchester City,88,0,3,0.311032,2.40074,2023
22276,2023-08-12 11:30:00,Arsenal,83,Nottingham Forest,249,2,1,0.84262,0.966305,2023
22277,2023-08-12 14:00:00,Bournemouth,73,West Ham,81,1,1,1.51025,1.4834,2023
22278,2023-08-12 14:00:00,Brighton,220,Luton,256,4,1,4.36748,1.88594,2023
22279,2023-08-12 14:00:00,Everton,72,Fulham,228,0,1,2.59001,1.58144,2023
22280,2023-08-12 14:00:00,Sheffield United,238,Crystal Palace,78,0,1,0.422704,2.27616,2023
22281,2023-08-12 16:30:00,Newcastle United,86,Aston Villa,71,5,1,4.32208,1.486,2023
22282,2023-08-13 13:00:00,Brentford,244,Tottenham,82,2,2,1.90756,1.45316,2023
22283,2023-08-13 15:30:00,Chelsea,80,Liverpool,87,1,1,1.93258,1.29994,2023
22284,2023-08-14 19:00:00,Manchester United,89,Wolverhampton Wanderers,229,1,0,1.97087,1.72228,2023
22285,2023-08-18 18:45:00,Nottingham Forest,249,Sheffield United,238,2,1,1.37181,0.551038,2023
22286,2023-08-19 14:00:00,Wolverhampton Wanderers,229,Brighton,220,1,4,2.68821,3.15562,2023
22287,2023-08-19 14:00:00,Fulham,228,Brentford,244,0,3,0.399899,3.46888,2023
22288,2023-08-19 14:00:00,Liverpool,87,Bournemouth,73,3,1,3.25448,1.3867,2023
22290,2023-08-19 16:30:00,Tottenham,82,Manchester United,89,2,0,2.53904,2.44604,2023
22291,2023-08-19 19:00:00,Manchester City,88,Newcastle United,86,1,0,1.22528,0.257154,2023
22292,2023-08-20 13:00:00,Aston Villa,71,Everton,72,4,0,3.24336,0.721465,2023
22293,2023-08-20 15:30:00,West Ham,81,Chelsea,80,3,1,1.71234,1.60916,2023
22294,2023-08-21 19:00:00,Crystal Palace,78,Arsenal,83,0,1,1.06916,2.20593,2023
22295,2023-08-25 19:00:00,Chelsea,80,Luton,256,3,0,3.41419,0.465741,2023
22296,2023-08-26 11:30:00,Bournemouth,73,Tottenham,82,0,2,0.483582,2.26115,2023
22297,2023-08-26 14:00:00,Arsenal,83,Fulham,228,2,2,3.23088,0.849817,2023
22298,2023-08-26 14:00:00,Brentford,244,Crystal Palace,78,1,1,0.948011,1.06061,2023
22299,2023-08-26 14:00:00,Everton,72,Wolverhampton Wanderers,229,0,1,1.89792,1.40228,2023
22300,2023-08-26 14:00:00,Manchester United,89,Nottingham Forest,249,3,2,3.02803,0.960354,2023
22301,2023-08-26 16:30:00,Brighton,220,West Ham,81,1,3,1.3743,2.9527,2023
22302,2023-08-27 13:00:00,Burnley,92,Aston Villa,71,1,3,0.630605,2.83691,2023
22303,2023-08-27 13:00:00,Sheffield United,238,Manchester City,88,1,2,0.762232,3.84804,2023
22304,2023-08-27 15:30:00,Newcastle United,86,Liverpool,87,1,2,1.62037,0.856121,2023
21925,2023-09-01 19:00:00,Luton,256,West Ham,81,1,2,2.02244,1.22528,2023
21926,2023-09-02 11:30:00,Sheffield United,238,Everton,72,2,2,1.575,2.73871,2023
21927,2023-09-02 14:00:00,Manchester City,88,Fulham,228,5,1,2.00152,1.46427,2023
21928,2023-09-02 14:00:00,Brentford,244,Bournemouth,73,2,2,3.07185,2.11013,2023
21929,2023-09-02 14:00:00,Burnley,92,Tottenham,82,2,5,1.66604,2.39785,2023
21930,2023-09-02 14:00:00,Chelsea,80,Nottingham Forest,249,0,1,2.28442,1.1505,2023
