match_id,player,player_id,team,home_away,minute,result,xG,X,Y,shot_type,situation,last_action,date,home_team,away_team,season
22275,Luca Koleosho,10620,Burnley,home,14,MissedShots,0.05805481970310211,0.86,0.635,RightFoot,OpenPlay,Pass,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Zeki Amdouni,11701,Burnley,home,17,SavedShot,0.06125757470726967,0.8859999847412109,0.6719999694824219,LeftFoot,OpenPlay,Pass,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Lyle Foster,7498,Burnley,home,28,MissedShots,0.01711176335811615,0.87,0.750999984741211,LeftFoot,OpenPlay,TakeOn,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Lyle Foster,7498,Burnley,home,36,BlockedShot,0.09761640429496765,0.86,0.455,RightFoot,OpenPlay,Pass,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Anass Zaroury,11703,Burnley,home,79,BlockedShot,0.0639837458729744,0.8169999694824219,0.5359999847412109,LeftFoot,OpenPlay,Pass,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Jacob Bruun Larsen,5355,Burnley,home,81,MissedShots,0.013008161447942257,0.9580000305175781,0.37599998474121094,Head,FromCorner,Aerial,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Erling Haaland,8260,Manchester City,away,3,Goal,0.5058456659317017,0.9369999694824219,0.5059999847412109,LeftFoot,FromCorner,HeadPass,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Kevin De Bruyne,447,Manchester City,away,5,MissedShots,0.01889444887638092,0.7190000152587891,0.3890000152587891,RightFoot,OpenPlay,Pass,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Erling Haaland,8260,Manchester City,away,10,MissedShots,0.13024680316448212,0.9519999694824218,0.4209999847412109,RightFoot,OpenPlay,Cross,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Erling Haaland,8260,Manchester City,away,35,Goal,0.11321365833282471,0.8909999847412109,0.385,LeftFoot,OpenPlay,Pass,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Phil Foden,6055,Manchester City,away,45,SavedShot,0.16869960725307465,0.8980000305175782,0.48200000762939454,LeftFoot,OpenPlay,TakeOn,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Erling Haaland,8260,Manchester City,away,51,BlockedShot,0.13275626301765442,0.9440000152587891,0.6819999694824219,LeftFoot,OpenPlay,Throughball,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Phil Foden,6055,Manchester City,away,52,BlockedShot,0.07316727191209793,0.950999984741211,0.625999984741211,LeftFoot,FromCorner,None,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Rodri,2496,Manchester City,away,54,SavedShot,0.014352702535688877,0.705999984741211,0.43900001525878907,RightFoot,OpenPlay,BallRecovery,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Rodri,2496,Manchester City,away,54,SavedShot,0.020431943237781525,0.865999984741211,0.485,Head,FromCorner,Cross,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Julián Álvarez,10846,Manchester City,away,59,MissedShots,0.08655776083469391,0.8819999694824219,0.33599998474121096,RightFoot,OpenPlay,Pass,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Rodri,2496,Manchester City,away,66,BlockedShot,0.10010907053947449,0.8590000152587891,0.3920000076293945,RightFoot,OpenPlay,LayOff,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Nathan Aké,579,Manchester City,away,74,BlockedShot,0.10935002565383911,0.9580000305175781,0.49599998474121093,LeftFoot,SetPiece,None,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Rodri,2496,Manchester City,away,74,Goal,0.6593173146247864,0.9519999694824218,0.49400001525878906,RightFoot,SetPiece,Rebound,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Julián Álvarez,10846,Manchester City,away,78,BlockedShot,0.13168953359127045,0.8880000305175781,0.6029999923706054,RightFoot,OpenPlay,Pass,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Julián Álvarez,10846,Manchester City,away,85,SavedShot,0.07177942246198654,0.8690000152587891,0.31799999237060544,RightFoot,OpenPlay,Pass,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Phil Foden,6055,Manchester City,away,87,MissedShots,0.024144073948264122,0.8219999694824218,0.28399999618530275,LeftFoot,SetPiece,Pass,2023-08-11 19:00:00,Burnley,Manchester City,2023
22275,Aymeric Laporte,2498,Manchester City,away,94,SavedShot,0.11228246241807938,0.9130000305175782,0.5270000076293946,Head,SetPiece,Cross,2023-08-11 19:00:00,Burnley,Manchester City,2023
22276,Eddie Nketiah,6482,Arsenal,home,9,MissedShots,0.08700478076934814,0.95,0.5979999923706054,Head,OpenPlay,Cross,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
22276,Kai Havertz,5220,Arsenal,home,23,BlockedShot,0.03973983973264694,0.794000015258789,0.5479999923706055,LeftFoot,OpenPlay,Pass,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
22276,Bukayo Saka,7322,Arsenal,home,24,BlockedShot,0.051885101944208145,0.8819999694824219,0.30700000762939456,RightFoot,OpenPlay,Pass,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
22276,Eddie Nketiah,6482,Arsenal,home,25,Goal,0.06297741830348969,0.8809999847412109,0.5690000152587891,RightFoot,FromCorner,BallTouch,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
22276,Bukayo Saka,7322,Arsenal,home,31,Goal,0.037814829498529434,0.794000015258789,0.375,LeftFoot,OpenPlay,Pass,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
22276,Eddie Nketiah,6482,Arsenal,home,37,MissedShots,0.07902981340885162,0.9159999847412109,0.34200000762939453,RightFoot,OpenPlay,None,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
22276,Declan Rice,5553,Arsenal,home,43,SavedShot,0.01737094298005104,0.7180000305175781,0.6309999847412109,RightFoot,OpenPlay,Pass,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
22276,Takehiro Tomiyasu,7931,Arsenal,home,50,SavedShot,0.019561249762773514,0.750999984741211,0.6509999847412109,RightFoot,OpenPlay,Pass,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
22276,Martin Odegaard,2517,Arsenal,home,68,BlockedShot,0.036525920033454895,0.8490000152587891,0.2620000076293945,LeftFoot,OpenPlay,Pass,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
22276,Declan Rice,5553,Arsenal,home,75,SavedShot,0.033978916704654694,0.7780000305175782,0.4329999923706055,RightFoot,OpenPlay,Pass,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
22276,Declan Rice,5553,Arsenal,home,80,SavedShot,0.06948760896921158,0.865999984741211,0.5329999923706055,RightFoot,OpenPlay,Aerial,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
22276,Kai Havertz,5220,Arsenal,home,84,BlockedShot,0.06931421905755997,0.9430000305175781,0.30100000381469727,RightFoot,OpenPlay,Pass,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
22276,Bukayo Saka,7322,Arsenal,home,86,SavedShot,0.14559100568294525,0.9119999694824219,0.5209999847412109,LeftFoot,OpenPlay,Pass,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
22276,Martin Odegaard,2517,Arsenal,home,92,BlockedShot,0.047283489257097244,0.7730000305175782,0.625999984741211,LeftFoot,OpenPlay,Pass,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
22276,Martin Odegaard,2517,Arsenal,home,97,MissedShots,0.045054949820041656,0.8159999847412109,0.385,LeftFoot,OpenPlay,Pass,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
22276,Brennan Johnson,10760,Nottingham Forest,away,10,MissedShots,0.15999659895896912,0.8390000152587891,0.3920000076293945,RightFoot,OpenPlay,BallRecovery,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
22276,Ola Aina,725,Nottingham Forest,away,69,BlockedShot,0.0158710777759552,0.7440000152587891,0.7130000305175781,RightFoot,OpenPlay,TakeOn,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
22276,Willy Boly,6850,Nottingham Forest,away,77,SavedShot,0.08395855873823166,0.955999984741211,0.47900001525878905,Head,FromCorner,Aerial,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
22276,Taiwo Awoniyi,7814,Nottingham Forest,away,81,Goal,0.6045634746551514,0.95,0.5709999847412109,RightFoot,OpenPlay,Pass,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2023
