League,season_id,Team,Player,Season,position,Matches,Minutes,Goals,xG,Non-Penalty Goals,Non-Penalty xG,Assists,xA,Shots,Key Passes,Yellow Cards,Red Cards,xg_chain,xg_buildup
Premier League,2526,Arsenal,Ben White,2025,D,1,72,0,0.0184373389929533,0,0.0184373389929533,0,0.060895293951034546,1,1,0,0,0.20631606876850128,0.14542077481746674
Premier League,2526,Arsenal,Bukayo Saka,2025,F M S,8,600,2,2.2627211241051555,1,1.5015522865578532,0,1.7471014894545078,14,15,0,0,5.0962173491716385,3.1476272270083427
Premier League,2526,Arsenal,Christian Nørgaard,2025,S,2,12,0,0.048741746693849564,0,0.048741746693849564,0,0.0,1,0,0,0,0.048741746693849564,0.0
Premier League,2526,Arsenal,Cristhian Mosquera,2025,D S,6,295,0,0.0,0,0.0,0,0.060570258647203445,0,1,0,0,1.3589121103286743,1.2983418405056
Premier League,2526,Arsenal,David Raya,2025,GK,10,900,0,0.0,0,0.0,0,0.049500007182359695,0,1,1,0,1.7020831853151321,1.6525831781327724
Premier League,2526,Arsenal,Declan Rice,2025,M S,10,807,2,1.2333872616291046,2,1.2333872616291046,2,1.3446809146553278,9,17,0,0,4.494922712445259,3.157340034842491
Premier League,2526,Arsenal,Eberechi Eze,2025,F M S,9,637,1,1.1558575723320246,1,1.1558575723320246,2,1.2227466478943825,21,5,0,0,3.7700129449367523,1.998419025912881
Premier League,2526,Arsenal,Ethan Nwaneri,2025,S,5,153,0,0.3292111651971936,0,0.3292111651971936,0,0.048408184200525284,6,1,0,0,1.166222719475627,0.9847383946180344
Premier League,2526,Arsenal,Gabriel,2025,D,10,900,1,1.321236215531826,1,1.321236215531826,2,1.6385405659675598,8,3,1,0,3.777281019836664,3.756230864673853
Premier League,2526,Arsenal,Gabriel Martinelli,2025,F S,8,185,1,0.8312334343791008,1,0.8312334343791008,0,0.10601583868265152,5,2,0,0,0.913587212562561,0.1547226905822754
Premier League,2526,Arsenal,Jurriën Timber,2025,D S,10,800,2,1.2776657789945602,2,1.2776657789945602,1,0.9014561558142304,11,13,2,0,3.871252827346325,3.0651557482779026
Premier League,2526,Arsenal,Kai Havertz,2025,S,1,29,0,0.0,0,0.0,0,0.0,0,0,0,0,0.18898457288742065,0.18898457288742065
Premier League,2526,Arsenal,Leandro Trossard,2025,F M S,8,564,1,2.1356852501630783,1,2.1356852501630783,2,0.9769220985472202,14,8,0,0,2.9563683569431305,1.348691038787365
Premier League,2526,Arsenal,Martin Odegaard,2025,M S,6,193,0,0.16580358520150185,0,0.16580358520150185,1,0.7574908211827278,4,3,0,0,1.2668863274157047,1.0461063385009766
Premier League,2526,Arsenal,Martín Zubimendi,2025,M S,10,859,2,0.2602872122079134,2,0.2602872122079134,0,0.5294869523495436,6,7,1,0,3.1557225044816732,2.92798313498497
Premier League,2526,Arsenal,Max Dowman,2025,S,2,24,0,0.15431709215044975,0,0.15431709215044975,0,0.0,3,0,0,0,0.12994308397173882,0.0
Premier League,2526,Arsenal,Mikel Merino,2025,M S,9,307,1,0.7801184058189392,1,0.7801184058189392,0,0.24161597341299057,4,3,0,0,0.747341550886631,0.6985998079180717
Premier League,2526,Arsenal,Myles Lewis-Skelly,2025,S,7,68,0,0.0,0,0.0,0,0.0,0,0,1,0,0.06878400593996048,0.06878400593996048
Premier League,2526,Arsenal,Noni Madueke,2025,F S,5,323,0,0.4196033626794815,0,0.4196033626794815,0,0.9843250922858715,5,8,0,0,1.2940840385854244,0.7309239581227303
Premier League,2526,Arsenal,Piero Hincapié,2025,S,2,22,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
Premier League,2526,Arsenal,Riccardo Calafiori,2025,D,10,800,1,1.7488657273352146,1,1.7488657273352146,2,0.3853544294834137,18,4,3,0,3.456230580806732,2.896150380373001
Premier League,2526,Arsenal,Viktor Gyokeres,2025,F,10,814,4,4.881660208106041,3,4.120491370558739,0,1.207115799188614,20,8,1,0,6.511527366936207,2.001145426183939
Premier League,2526,Arsenal,William Saliba,2025,D S,9,629,0,0.06771591305732727,0,0.06771591305732727,0,0.09533271938562393,1,1,0,0,1.9666387178003788,1.9666387178003788
Premier League,2526,Aston Villa,Amadou Onana,2025,M S,6,430,0,0.09780319035053253,0,0.09780319035053253,0,0.020390674471855164,2,1,2,0,0.5662100687623024,0.46840688586235046
Premier League,2526,Aston Villa,Boubacar Kamara,2025,M S,8,560,0,0.1888688700273633,0,0.1888688700273633,2,0.32392895221710205,2,6,2,0,0.921652901917696,0.762324545532465
Premier League,2526,Aston Villa,Bradley Burrowes,2025,S,1,12,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
Premier League,2526,Aston Villa,Donyell Malen,2025,F M S,10,312,2,1.3797379657626152,2,1.3797379657626152,0,0.15197200328111649,9,3,0,0,1.2715538814663887,0.16238738223910332
Premier League,2526,Aston Villa,Emiliano Buendía,2025,M S,8,350,2,1.0303737884387374,2,1.0303737884387374,2,0.401284571737051,12,7,2,0,1.6853877790272236,0.408694326877594
Premier League,2526,Aston Villa,Emiliano Martinez,2025,GK,8,720,0,0.0,0,0.0,0,0.0,0,0,1,0,0.8669360876083374,0.8669360876083374
Premier League,2526,Aston Villa,Evann Guessand,2025,M S,9,427,0,0.6572799533605576,0,0.6572799533605576,0,0.028522029519081116,3,1,0,0,0.5347753651440144,0.3516807444393635
Premier League,2526,Aston Villa,Ezri Konsa Ngoyo,2025,D,9,786,0,0.02329982817173004,0,0.02329982817173004,0,0.04962930828332901,1,1,0,1,1.7962713986635208,1.7466421276330948
